guid,val_struct
22c1092c-3af8-466d-a51f-e7624308ce59,2635489.8
6074c697-4007-451b-8906-d1cca41101e5,171018.34
025d6ab2-b317-4b6a-833e-4b9630adc88f,165349.14
a9f8838f-d95e-4617-b631-9bba69700912,270700.41
8a20a4db-ddca-4e64-9197-bf5d2bcdbf8a,250597.47
6d638257-64d5-41ef-8952-dd61c296a97c,481605.78
47c32686-b69c-454e-9e41-54e1e51278f1,196032.16
5219e393-c06e-492c-b7a1-341b8d766808,248646.27
5147f598-ac84-4e4e-9354-9f5f9ba366ac,87172.094
ece83a3b-6c11-4292-a2dc-add75dfc3c06,233684.02
19d5c2d2-b1d7-4b1d-8d32-525177d973a0,254472.27
c15afabc-e8fe-429f-b1f3-ec2b5170e9e2,142618.3
756277c9-6b8d-48a4-9b27-0945e8d022f2,160155.84
45f9febe-1281-4573-8907-4db8ed33302f,202187.08
4243f37f-afd5-4229-944c-102077bc146a,167998.94
2840022a-2120-4a16-acb6-df3cbe2fe9b9,41430.973
ecf887a6-1ee9-483d-bda3-96db47e005e7,422924.22
d6ac3267-406b-4f12-860f-24fa93144bdd,239501.02
7d18b30a-46df-478e-97d5-9bfe694db4c4,196336.41
719269a6-db45-41d9-b610-09c85f9878e5,198926.45
fb2c936b-52b4-4585-81c8-6cc0a9ed157a,306286.63
618b7784-6e53-4428-bfd0-98c7d56dc8d0,373528.66
9227c6ad-242f-417a-9683-7618738be109,198926.45
a503b8fd-d92b-4043-b596-04550887ca2a,284115.66
8346356c-505a-4007-8ac3-c4a991a0ecdd,198926.45
8ac153a9-04c5-4cda-8104-0aac1e7f7713,44538.293
cc609b3c-b5ec-4ee3-b8bc-8471a8b54f7c,459279.38
c6924b47-7723-4d35-8dbd-d199c6f6ae5d,223501.72
7c4c0ef0-092a-497f-b503-b855e5fb7ca5,211484.78
96857fbf-410d-4136-bd7c-98df5d4d7375,2110533.3
139e999e-8171-4ae0-8903-90ec78246714,223501.72
030269bc-069c-454e-bebd-cf20f3e1b2df,191366.41
