guid,sector
22c1092c-3af8-466d-a51f-e7624308ce59,HS3I
6074c697-4007-451b-8906-d1cca41101e5,HS2I
025d6ab2-b317-4b6a-833e-4b9630adc88f,HS2I
a9f8838f-d95e-4617-b631-9bba69700912,HS3I
8a20a4db-ddca-4e64-9197-bf5d2bcdbf8a,HS3I
6d638257-64d5-41ef-8952-dd61c296a97c,HS3I
47c32686-b69c-454e-9e41-54e1e51278f1,HS2I
5219e393-c06e-492c-b7a1-341b8d766808,HS3I
5147f598-ac84-4e4e-9354-9f5f9ba366ac,HS1I
ece83a3b-6c11-4292-a2dc-add75dfc3c06,HS3I
19d5c2d2-b1d7-4b1d-8d32-525177d973a0,HS3I
c15afabc-e8fe-429f-b1f3-ec2b5170e9e2,HS2I
756277c9-6b8d-48a4-9b27-0945e8d022f2,HS2I
45f9febe-1281-4573-8907-4db8ed33302f,
4243f37f-afd5-4229-944c-102077bc146a,HS2I
2840022a-2120-4a16-acb6-df3cbe2fe9b9,HS1I
ecf887a6-1ee9-483d-bda3-96db47e005e7,HS3I
d6ac3267-406b-4f12-860f-24fa93144bdd,HS3I
7d18b30a-46df-478e-97d5-9bfe694db4c4,HS2I
719269a6-db45-41d9-b610-09c85f9878e5,HS2I
fb2c936b-52b4-4585-81c8-6cc0a9ed157a,HS3I
618b7784-6e53-4428-bfd0-98c7d56dc8d0,HS3I
9227c6ad-242f-417a-9683-7618738be109,HS2I
a503b8fd-d92b-4043-b596-04550887ca2a,HS3I
8346356c-505a-4007-8ac3-c4a991a0ecdd,HS2I
8ac153a9-04c5-4cda-8104-0aac1e7f7713,HS1I
cc609b3c-b5ec-4ee3-b8bc-8471a8b54f7c,
c6924b47-7723-4d35-8dbd-d199c6f6ae5d,
7c4c0ef0-092a-497f-b503-b855e5fb7ca5,HS3I
96857fbf-410d-4136-bd7c-98df5d4d7375,HS3I
139e999e-8171-4ae0-8903-90ec78246714,
030269bc-069c-454e-bebd-cf20f3e1b2df,
079ff3d9-5763-4146-8ca3-d7aee066c2e9,
a118a192-7673-4a19-9ac5-db9a4c40542e,
2aad653e-73a2-406e-8f4a-4cc516b20d0c,
c9fd4823-0c30-4f4d-9f50-9a3b368dd11d,HS3I
16f17d74-697d-4b61-b14a-f492af2acca4,
af854d26-581c-47b1-92ad-3a562d5b2901,
67b81980-4ed8-481d-ba8e-6d1c0516f36c,
7fc60e9f-9116-4a66-af85-17aef5f708be,
95378ca8-407c-4a63-add1-71ee0bbae00a,HS3I
e46b7a40-e3cf-4e7c-90b3-f8a123034c84,HS1I
195a7a28-3d19-4c74-ab23-0c971a57bd4c,HS3I
cff74a33-ab5d-40a9-8f8f-13f6b4374898,HS3I
b66326cd-2670-4be3-a1c3-41d2c64e6e96,HS3I
4d2d4323-dd3a-4568-82f9-d26790a75d2c,HS2I
c915ecc4-68e7-494f-9d4c-bc426625f476,HS2I
01e78c8e-acba-42bb-a5b8-04270560e982,HS3I
85a3b6ac-0cf8-4a02-90ee-f774e32c338b,HS3I
21cefeb2-478f-465c-aa66-42845c5f46cc,HS3I
d4fc0505-e36e-4f9b-8515-8a1c06b073d8,HS3I
b8ca2a19-6c66-4b43-bd70-a30289102827,HS3I
c4bacc4a-abde-454a-98d5-10e8554b591b,HS3I
90020aaf-c9a5-4c3c-a17a-be6fc6f72bcc,HS2I
37e4789b-9150-4762-a943-3a561db8bfad,HS3I
6cae69e6-9792-4817-8316-609cf778062b,HS3I
4c140e55-5caa-4a26-8562-572f37dbc92d,HS3I
07cd2589-8767-4dff-a1e1-7f2a487c7804,HS3I
35dba8d5-a4d6-46f0-8efc-60956a85501c,HS2I
e4730000-f0f5-4b3c-b96b-c5e93fb1d64d,HS3I
6f1a9359-4f8a-4903-8e86-d532245ce0e9,HS3I
f4256ff9-0c5d-440b-bd89-69c226f55fc5,HS2I
d1bcb541-e0bd-44e7-8e61-ae327e87608c,HS3I
7f39ca69-ad29-404b-ad95-adac419c09da,HS2I
c255912f-187e-499c-b9e5-85c43ed0c612,HS2I
