guid,sector
e145b5aa-a1ba-4316-a850-1b95cf824da4,FINANCE
eeb16aaa-a734-45d5-9dda-f5b65ca3f1ea,FINANCE
30bcaefa-9cef-46f7-adc5-f2e06facdaa7,RETAIL
a2eba5fc-0a87-45f9-a2c8-d33dfe2d02d9,UTIL_CONS
51df8588-4bc5-49ce-bfa4-5591d4ddd7a7,RETAIL
e8a0f156-b79c-4dfa-b203-8704ee2e0403,RETAIL
372018e1-57f4-4472-bad5-2cccf7dffe73,RETAIL
4d13fc23-3cb8-4552-a053-fbaa4f00666e,RETAIL
d2196fd9-a202-4e4d-909f-6a821c405508,ACCO
159a2313-39d2-4edb-862a-013a320fae9d,ADMIN_EDU
1d8697b2-90a4-4766-959c-3ee513c7a5ea,RETAIL
ce271420-4422-4ff6-98c4-0732b9633467,RETAIL
fffcbf4e-cb58-41ee-935d-e6d12e12b900,ACCO
6d513d1b-877d-4c57-ae66-7daec4db2006,OTHER
86af5744-2913-4deb-965f-842d73d2b680,INFO
3e79ab50-68b3-4e11-ad35-73379eff7ab1,HEALTH
c8616067-3160-4eb1-88b9-9ad7a0c7e125,HEALTH
33200665-8006-4782-8dd3-9869e5ca53bf,INFO
c65a02c1-cbc0-4222-b33b-f4922214ff4b,HS3
57e820e7-2a71-4733-af0c-4e80c1c997f9,HS4
478a4b2f-ab2e-4827-9689-f6b707324bce,HS4
c9d5233b-ba46-4a59-9ef1-8f3f027f0be8,HS4
ed9c49bf-fa35-43dd-a8b9-5e6fca122a26,HS4
6c5835a2-230b-4a7a-bdf0-6713cae8d761,HS4
a488b416-8314-4842-9414-4fe8e665423f,HS4
710c79fa-1629-4280-a189-87e093c950f4,HS4
b8d6c342-6e74-4a30-af1f-7dc3cb0183b9,HS4
39f2c932-2c6b-4650-8595-a35878b4e0ab,HS4
5d9ffe5d-b6ce-40f7-8481-644c4549d65c,HS4
febb4135-4265-4fc3-b6e9-a102dc4b0d8a,HS4
65323085-2e1f-48ab-9b38-f87f58a15f1f,HS4
cd13b369-9576-467d-9102-65e3ef92b725,HS4
77e04bce-feb3-4a6a-a9eb-e8d27a8758de,HS4
dacd6f1c-2b93-4b27-b21f-3ab8dd9e1586,HS4
7ab2f464-24cc-4f22-bc3b-891e45a41c8e,HS4
ef362ff2-7874-4cab-a990-24ee0607f151,HS4
0adee8cf-0474-42a9-918a-758b4e4193c9,HS4
7907e5cb-0077-467e-b136-651c8dbd689f,HS4
1b3aa73e-9e99-4a10-89aa-1a9ba63e0de8,HS4
4993f0f4-96ec-4ed8-9a8b-485dba5ecda7,HS4
f0ccacc4-dabb-4a01-983e-180428c521a5,HS4
f3a74bd9-2e6c-4340-811e-e809d02a0bc1,HS4
57f6164f-d147-4c51-a797-397bf0b1ada1,HS4
817d9953-b243-4b96-8b41-d3669c4eafa3,HS4
b4e032be-f5d3-4286-855a-636838e1b3ae,HS4
842f7cf2-4011-4cff-a36d-11bcd0828471,ACCO
011b15fc-faf4-49f3-a92e-99e838266953,HS4
