Sectors,DS0,DSL
IAGMIN,26.064493796562374,22.20416840595086
IUTIL,84.81404418899685,77.53860849407364
ICONS,291.79581021431517,265.73461839401693
IMANU,440.35707576904423,412.3509118291481
IWHOLE,64.65384568028472,58.147652417263465
IRETAIL,356.8655856544485,316.28604451476
ITRANS,281.2685375025268,250.98970728203267
IPROFSER,948.2592891105058,855.7900116624509
IREALE,97.18799154647088,85.01657853885631
IEDU,924.2489811340154,763.4846671322376
IHEALTH,382.8963921200951,338.4008197658792
IART,73.13281489833778,65.61912092851475
IACCO,228.0878708031006,196.68554006450506
MAGMIN,84.637859122527,71.82873943354276
MUTIL,159.66868497601354,150.24350837806324
MCONS,784.0146542553618,664.2019026862308
MMANU,1269.8688963119268,1111.3248340635325
MWHOLE,240.9277897871131,209.11398473447846
MRETAIL,1016.2462754504053,967.5365881761213
MTRANS,307.2235014610129,286.7950667674072
MPROFSER,1989.8818503427474,1783.8662913353005
MREALE,167.53852926973832,148.06513350763592
MEDU,1090.1580052903014,938.9893093254001
MHEALTH,863.2585402761385,749.5075032775023
MART,108.53503230585144,101.82798259806172
MACCO,386.2614117705803,350.19842609565455
HS1I,474.9391085138024,405.11674016524603
HS2I,210.78758204187915,179.79900296263793
HS3I,150.91142647462178,128.7254388412371
HS1M,2098.5435516668895,2119.957883642721
HS2M,931.3760708667154,940.8801844778285
HS3M,666.8101150558309,673.6144982559439
