dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,L1WI,L2WI,L3WI,L4WI,L1BI,L2BI,L3BI,L4BI,L1HI,L2HI,L3HI,L4HI,L1WM,L2WM,L3WM,L4WM,L1BM,L2BM,L3BM,L4BM,L1HM,L2HM,L3HM,L4HM,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,HH1WI,HH2WI,HH3WI,HH4WI,HH5WI,HH1BI,HH2BI,HH3BI,HH4BI,HH5BI,HH1HI,HH2HI,HH3HI,HH4HI,HH5HI,HH1WM,HH2WM,HH3WM,HH4WM,HH5WM,HH1BM,HH2BM,HH3BM,HH4BM,HH5BM,HH1HM,HH2HM,HH3HM,HH4HM,HH5HM,WIUSSOC1,WIUSSOC2,WIUSSOC3,WIUSSOC4,BIUSSOC1,BIUSSOC2,BIUSSOC3,BIUSSOC4,HIUSSOC1,HIUSSOC2,HIUSSOC3,HIUSSOC4,WMUSSOC1,WMUSSOC2,WMUSSOC3,WMUSSOC4,BMUSSOC1,BMUSSOC2,BMUSSOC3,BMUSSOC4,HMUSSOC1,HMUSSOC2,HMUSSOC3,HMUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
IAGMIN,4.607054619,6.249717821,5.687771473,76.68523132,0.029519282,0.26114889,4.386995706,0.409431192,0.123287517,1.525609269,0.154197601,0.049223108,0.370364296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27344272,0,0,0,0,0,0,0.099971018,0.149251846,0.538403877,0.718950626,0.468285715,0.036935857,0.046836353,0.14766004,0.087902811,0.051467716,0.03678323,0.078060589,0.18262133,0.209708496,0.03637992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461722564,0.12879393,0.193190895,0,0,0,0,23.55819874
IUTIL,0.184016351,47.7668804,1.977051104,12.1557315,0.852269583,10.08864404,1.995690409,5.582818175,2.633273493,1.456652798,4.054942255,1.013604714,5.517705896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.15508654,0,0,0,0,0,0,1.051324873,1.684131143,4.670785487,5.358102029,2.84731393,0.388428426,0.528493036,1.280987005,0.655110676,0.312938749,0.38682335,0.880821727,1.584284764,1.562888292,0.22120054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677445348,0.147801494,0.221702241,0,0,0,0,42.44995628
ICONS,0.522216173,0.920487369,0.219974988,4.819414983,0.280823689,2.625255641,2.92577606,4.812095392,6.120229367,16.1175792,1.099820508,0.216732302,1.520804203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.2670302,453.5920895,-2.407288429,-150.5254666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596414903,0.052550751,0.078826127,0,0,0,0,263.0410379
IMANU,1.88865278,1.535309235,79.76586464,143.276662,1.475471518,6.423497705,30.11783543,24.37795118,1.732800438,4.472834571,14.29742545,1.430681875,18.98050922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.5114641,0,0,0,0,0,0,2.730969808,4.457696247,14.24058386,20.08703257,12.9607327,1.008999532,1.398858655,3.905553558,2.455949777,1.424470773,1.004830113,2.331431091,4.830266795,5.859124716,1.00688619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.787021475,0.509900617,0.764850925,0,0,0,0,220.3464718
IWHOLE,0.702583373,0.48302086,30.53906781,51.16469977,3.295797689,9.26786138,10.18234347,11.29135298,1.288810716,1.603249567,12.12068086,0.725415198,6.852870949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98114914,0,0,0,0,0,0,1.994913032,3.279792586,10.58384553,15.27878771,10.84429374,0.737051838,1.029223615,2.902674213,1.868067628,1.191860046,0.734006169,1.715372691,3.58993691,4.456622571,0.842465457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.834538402,0.249754193,0.37463129,0,0,0,0,12.96504823
IRETAIL,0.008443215,0.040276,41.60852624,2.653924427,0.043711511,2.019092039,1.79298484,2.096207878,0.632062212,0.059159172,0.316555331,0.216801604,2.400548925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98114914,0,0,0,0,0,0,5.044529854,8.419833297,27.50277572,41.37170697,31.25347559,1.863780496,2.642207102,7.542778062,5.058329754,3.434964947,1.856078923,4.403678503,9.328672589,12.06758589,2.42800262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08242543,0.271595783,0.407393674,0,0,0,0,178.7195331
ITRANS,0.683695118,3.119504705,11.34432749,25.95661591,5.71605217,33.359571,45.75322264,18.98057135,0.582489511,2.984013401,5.482428062,1.783759519,3.734005353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.84434499,0,0,0,0,0,0,0.839184435,1.378434071,4.592220825,7.77828604,7.521513274,0.310049822,0.432562993,1.259440241,0.951015527,0.826664362,0.308768624,0.720938322,1.557636399,2.268824319,0.584327138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.696652562,0.237604925,0.356407388,0,0,0,0,225.7642278
IPROFSER,1.78826064,3.818801651,36.36063463,55.42974179,19.88209719,82.09772451,37.32536444,468.7149744,22.61197086,30.19617935,101.9379147,17.99124457,32.85949201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.4283926,0,0,0,0,0,0,7.790009615,13.38701821,45.6724189,71.65525402,44.26330078,2.878140957,4.200947136,12.5258964,8.76096081,4.864831311,2.866247812,7.00157856,15.49163788,20.90090054,3.43870268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6300616,1.465292415,2.197938622,0,0,0,0,665.2981276
IREALE,0.552531297,0.399076059,10.98291037,5.188557581,5.267505521,51.54114295,14.58968406,64.95767196,7.167987972,5.701652742,35.77305417,9.427261392,16.82407593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.66885945,0,0,0,0,0,0,7.535435678,11.70008092,39.74362286,65.03139623,52.05631304,2.784084632,3.671573511,10.89989351,7.951091956,5.721335218,2.77258015,6.119289186,13.48064824,18.96880785,4.04412188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.795732322,0.598779202,0.898168804,0,0,0,0,68.24190413
IEDU,0.055993786,0.394457479,0.787992271,2.391469799,0.38553399,3.250443096,2.556025508,5.025515418,0.292748485,1.958766768,2.147855766,0.906311823,1.269918031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.776765814,0,0,0,0,0,0,1.316926321,2.370786564,6.666895601,10.89315683,9.655050654,0.486559038,0.743970679,1.828430497,1.331856559,1.061154318,0.484548463,1.239951132,2.261345796,3.177391393,0.750076203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92838974,0.081801407,0.122702111,0,0,0,0,884.0680826
