DUMMY,L1WI,L2WI,L3WI,L4WI,L1BI,L2BI,L3BI,L4BI,L1HI,L2HI,L3HI,L4HI,L1WM,L2WM,L3WM,L4WM,L1BM,L2BM,L3BM,L4BM,L1HM,L2HM,L3HM,L4HM,KAP
IAGMIN,7,0,39,49,4,0,0,7,4,9,14,10,0,0,0,0,0,0,0,0,0,0,0,0,2.879828
IUTIL,0,3,40,27,0,0,11,0,5,65,26,0,0,0,0,0,0,0,0,0,0,0,0,0,80.72537
ICONS,85,121,131,97,0,22,7,2,34,127,237,99,0,0,0,0,0,0,0,0,0,0,0,0,88.58714
IMANU,8,44,128,147,0,0,28,10,7,29,26,32,0,0,0,0,0,0,0,0,0,0,0,0,130.5496
IWHOLE,37,74,59,75,0,0,36,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5624
IRETAIL,532,371,131,104,72,430,44,53,290,123,25,30,0,0,0,0,0,0,0,0,0,0,0,0,742.6952
ITRANS,112,511,474,175,35,140,226,51,12,79,289,0,0,0,0,0,0,0,0,0,0,0,0,0,39.27621
IPROFSER,464,534,1131,694,174,155,171,94,277,376,130,174,0,0,0,0,0,0,0,0,0,0,0,0,341.1937
IREALE,24,81,121,81,0,48,0,0,14,4,212,0,0,0,0,0,0,0,0,0,0,0,0,0,132.2719
IEDU,811,1832,5387,1214,249,606,467,312,738,561,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,176.2316
IHEALTH,147,256,825,297,132,306,206,46,125,161,222,119,0,0,0,0,0,0,0,0,0,0,0,0,131.416
IART,424,179,126,0,0,115,0,0,449,25,98,0,0,0,0,0,0,0,0,0,0,0,0,0,35.09628
IACCO,1947,350,352,8,379,420,0,0,1295,1193,55,0,0,0,0,0,0,0,0,0,0,0,0,0,267.9408
MAGMIN,0,0,0,0,0,0,0,0,0,0,0,0,31,0,178,223,17,0,0,32,19,44,62,45,11.23948
MUTIL,0,0,0,0,0,0,0,0,0,0,0,0,0,10,135,90,0,0,36,0,15,219,87,0,230.4261
MCONS,0,0,0,0,0,0,0,0,0,0,0,0,573,818,889,662,0,149,51,19,230,861,1606,669,282.3568
MMANU,0,0,0,0,0,0,0,0,0,0,0,0,106,580,1717,1963,0,0,378,140,90,385,354,432,941.9121
MWHOLE,0,0,0,0,0,0,0,0,0,0,0,0,253,496,401,513,0,0,245,0,0,0,200,0,280.5434
MRETAIL,0,0,0,0,0,0,0,0,0,0,0,0,2401,1675,590,468,326,1943,198,239,1308,557,111,135,3531.478
MTRANS,0,0,0,0,0,0,0,0,0,0,0,0,59,271,252,93,19,75,119,27,6,42,153,0,109.8632
MPROFSER,0,0,0,0,0,0,0,0,0,0,0,0,1423,1638,3469,2128,536,475,524,288,851,1152,399,536,1643.779
MREALE,0,0,0,0,0,0,0,0,0,0,0,0,43,144,218,146,0,87,0,0,25,7,381,0,292.8196
MEDU,0,0,0,0,0,0,0,0,0,0,0,0,818,1850,5438,1227,253,609,472,315,746,567,1340,0,1363.513
MHEALTH,0,0,0,0,0,0,0,0,0,0,0,0,404,702,2268,818,363,841,567,127,344,443,612,328,814.8701
MART,0,0,0,0,0,0,0,0,0,0,0,0,360,152,106,0,0,98,0,0,380,21,83,0,228.9991
MACCO,0,0,0,0,0,0,0,0,0,0,0,0,2938,527,532,12,569,635,0,0,1954,1799,84,0,814.5115
HS1I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.4641
HS2I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131.946
HS3I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014.367
HS1M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708.9388
HS2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5142.598
HS3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16504.37
COUNTY,3,45,158,66,0,37,38,24,2,9,45,1,6,89,313,131,0,73,77,48,4,18,91,0,0
STATE,3,42,147,61,0,34,36,22,2,8,42,0,6,82,290,121,0,68,71,44,4,16,84,0,0
FED,0,3,11,5,0,3,3,2,0,1,4,0,0,6,22,9,0,5,5,3,0,1,7,0,0
