DUMMY,L1WI,L2WI,L3WI,L4WI,L1BI,L2BI,L3BI,L4BI,L1HI,L2HI,L3HI,L4HI,L1WM,L2WM,L3WM,L4WM,L1BM,L2BM,L3BM,L4BM,L1HM,L2HM,L3HM,L4HM
HH1WI,0.824902724,0,0,0,0,0,0,0,0.031128405,0,0,0,0.140077821,0,0,0,0,0,0,0,0.003891051,0,0,0
HH2WI,0.32618683,0.488514548,0,0,0.006125574,0,0,0,0,0.030627871,0,0,0.056661562,0.084226646,0,0,0.001531394,0,0,0,0,0.006125574,0,0
HH3WI,0.188948307,0.279857398,0.292929293,0,0,0,0,0,0.068330362,0.008318479,0.014854427,0,0.032679739,0.048128342,0.050505051,0,0,0,0,0,0.011883541,0.001188354,0.002376708,0
HH4WI,0.093435031,0.126668483,0.414873332,0.114955053,0.000817216,0.004358485,0.009261782,0,0.010623808,0.020975211,0.057749932,0,0.016071915,0.021792427,0.071097794,0.019613184,0,0.000817216,0.001634432,0,0.001906837,0.003541269,0.009806592,0
HH5WI,0.085997442,0.054667519,0.257352941,0.343030691,0,0.00511509,0,0.002237852,0.041560102,0.010230179,0.04028133,0.01342711,0.014705882,0.0092711,0.044117647,0.058823529,0,0.000959079,0,0.000319693,0.007033248,0.001598465,0.00415601,0.00511509
HH1BI,0,0,0,0,0.849557522,0,0,0,0,0,0,0,0,0,0,0,0.150442478,0,0,0,0,0,0,0
HH2BI,0,0,0,0,0.178832117,0.675182482,0,0,0,0,0,0,0,0,0,0,0.02919708,0.116788321,0,0,0,0,0,0
HH3BI,0,0,0,0,0.084935897,0.580128205,0.189102564,0,0,0,0,0,0,0,0,0,0.014423077,0.099358974,0.032051282,0,0,0,0,0
HH4BI,0,0,0,0,0.168674699,0.206827309,0.441767068,0.034136546,0,0,0,0,0,0,0,0,0.030120482,0.036144578,0.076305221,0.006024096,0,0,0,0
HH5BI,0,0,0,0,0.064066852,0.108635097,0.247910864,0.431754875,0,0,0,0,0,0,0,0,0.011142061,0.019498607,0.04178273,0.075208914,0,0,0,0
HH1HI,0,0,0,0,0,0,0,0,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0
HH2HI,0,0,0,0,0,0,0,0,0.464,0.39,0,0,0,0,0,0,0,0,0,0,0.08,0.066,0,0
HH3HI,0,0,0,0,0.00887199,0,0,0,0.112801014,0.458808619,0.273764259,0,0,0,0,0,0.001267427,0,0,0,0.019011407,0.078580482,0.046894804,0
HH4HI,0,0,0,0,0,0.013651877,0.005972696,0,0.153583618,0.199658703,0.366040956,0.113481229,0,0,0,0,0,0.002559727,0.000853242,0,0.026450512,0.034982935,0.048634812,0.034129693
HH5HI,0,0,0,0,0,0,0,0.085020243,0.093117409,0.125506073,0.433198381,0.117408907,0,0,0,0,0,0,0,0.016194332,0.016194332,0.020242915,0.072874494,0.020242915
HH1WM,0.253132832,0,0,0,0,0,0,0,0.00877193,0,0,0,0.711779449,0,0,0,0,0,0,0,0.026315789,0,0,0
HH2WM,0.100346021,0.150766189,0,0,0.001977261,0,0,0,0,0.009391992,0,0,0.282254078,0.422639644,0,0,0.005437469,0,0,0,0,0.027187346,0,0
HH3WM,0.057979334,0.086107922,0.090126292,0,0,0,0,0,0.021048603,0.002678913,0.004592423,0,0.163030999,0.241867585,0.25296594,0,0,0,0,0,0.059318791,0.007462687,0.012820513,0
HH4WM,0.028792135,0.038974719,0.127633427,0.035375702,0.000263343,0.001316713,0.002808989,0,0.003247893,0.006495787,0.017731742,0,0.080758427,0.109375,0.35840941,0.099367978,0.000614466,0.003686798,0.007988062,0,0.009129213,0.018258427,0.04977177,0
HH5WM,0.026448492,0.016774725,0.079139652,0.105485232,0,0.001543686,0,0.000720387,0.01276114,0.003190285,0.012452403,0.004116497,0.074302768,0.047133889,0.222085006,0.296284862,0,0.004322322,0,0.002058248,0.03571061,0.008850468,0.021302871,0.025316456
HH1BM,0,0,0,0,0.262857143,0,0,0,0,0,0,0,0,0,0,0,0.737142857,0,0,0,0,0,0,0
HH2BM,0,0,0,0,0.055099648,0.207502931,0,0,0,0,0,0,0,0,0,0,0.154747948,0.582649472,0,0,0,0,0,0
HH3BM,0,0,0,0,0.026383859,0.177961718,0.058458355,0,0,0,0,0,0,0,0,0,0.073978272,0.500258665,0.162959131,0,0,0,0,0
HH4BM,0,0,0,0,0.052325581,0.063307494,0.135658915,0.010335917,0,0,0,0,0,0,0,0,0.146640827,0.178940568,0.382428941,0.030361757,0,0,0,0
HH5BM,0,0,0,0,0.019713262,0.033154122,0.076164875,0.132616487,0,0,0,0,0,0,0,0,0.056451613,0.094086022,0.215053763,0.372759857,0,0,0,0
HH1HM,0,0,0,0,0,0,0,0,0.261589404,0,0,0,0,0,0,0,0,0,0,0,0.738410596,0,0,0
HH2HM,0,0,0,0,0,0,0,0,0.142949131,0.119768191,0,0,0,0,0,0,0,0,0,0,0.400515132,0.336767547,0,0
HH3HM,0,0,0,0,0.002853649,0,0,0,0.034651447,0.141051773,0.083978801,0,0,0,0,0,0.008153282,0,0,0,0.097431716,0.395841826,0.236037505,0
HH4HM,0,0,0,0,0,0.004396812,0.001923605,0,0.047265732,0.061555372,0.112393515,0.034899698,0,0,0,0,0,0.011816433,0.005770816,0,0.132728772,0.172849684,0.243473482,0.170926079
HH5HM,0,0,0,0,0,0,0,0.026281209,0.02890933,0.038107753,0.134034166,0.035479632,0,0,0,0,0,0,0,0.074901445,0.080157687,0.106438896,0.375821288,0.099868594
