DUMMY,OUT1,OUT2,OUT3,OUT4
HH1WI,1.015564202,0,0,0
HH2WI,0.395099541,0.618683002,0,0
HH3WI,0.306001188,0.343434343,0.366607249,0
HH4WI,0.124761645,0.180877145,0.572868428,0.13674748
HH5WI,0.15185422,0.083120205,0.335358056,0.445971867
HH1BI,1.008849558,0,0,0
HH2BI,0.215328467,0.806569343,0,0
HH3BI,0.100961538,0.6875,0.224358974,0
HH4BI,0.200803213,0.246987952,0.526104418,0.042168675
HH5BI,0.077994429,0.128133705,0.295264624,0.509749304
HH1HI,1.010204082,0,0,0
HH2HI,0.552,0.464,0,0
HH3HI,0.144486692,0.54626109,0.325728771,0
HH4HI,0.182593857,0.254266212,0.342150171,0.235494881
HH5HI,0.109311741,0.145748988,0.51417004,0.238866397
HH1WM,1.869674185,0,0,0
HH2WM,0.728126545,1.139891251,0,0
HH3WM,0.563528511,0.631840796,0.6735553,0
HH4WM,0.22945927,0.332689607,1.054248596,0.251667837
HH5WM,0.278892662,0.152722034,0.616548317,0.819903262
HH1BM,1.871428571,0,0,0
HH2BM,0.391559203,1.475967175,0,0
HH3BM,0.187790998,1.267459907,0.413347129,0
HH4BM,0.370801034,0.452842377,0.968346253,0.076873385
HH5BM,0.142473118,0.238351254,0.54390681,0.943548387
HH1HM,1.867549669,0,0,0
HH2HM,1.01545396,0.853187379,0,0
HH3HM,0.267019976,1.002853649,0.598450876,0
HH4HM,0.336081341,0.46771091,0.630942567,0.432811212
HH5HM,0.203679369,0.270696452,0.954007884,0.442838371
