Household Group,HH0,HHL
HH1WI,655.0061530119552,636.5663519247518
HH2WI,1195.0037523209933,1142.9004482778114
HH3WI,2618.047016017578,2503.5121221915942
HH4WI,4114.120151137416,3906.047429774506
HH5WI,3320.967446413877,2897.661258256523
HH1BI,241.99956636168355,236.2582900349846
HH2BI,374.99871854732567,359.80410079414287
HH3BI,717.9967769281363,682.7916387865711
HH4BI,502.9799990138065,408.3964851905392
HH5BI,364.9916553662126,289.4458622738789
HH1HI,240.9995422757158,234.58939661857056
HH2HI,624.9977910800307,595.2131539696273
HH3HI,888.0047151779274,842.4104152951674
HH4HI,1199.9870920651088,1077.977016118733
HH5HI,257.99726927657167,219.84541703496114
HH1WM,2035.0028070029377,1998.5590408160472
HH2WM,3702.008043925811,3601.1875711035727
HH3WM,8129.019016988204,7910.048097956712
HH4WM,12769.174363540886,12382.681638001053
HH5WM,10314.068355045196,9509.025169933364
HH1BM,752.0009366656975,740.2845249742811
HH2BM,1169.0025927834406,1139.8842026126997
HH3BM,2224.0060138777453,2157.3433206147206
HH4BM,1562.0601955795307,1832.701718324713
HH5BM,1134.0190775293056,983.9277259893227
HH1HM,745.0010041210006,732.2344043333301
HH2HM,1942.0047140458048,1884.65202502197
HH3HM,2762.007925477888,2676.902798737712
HH4HM,3727.025436330837,3500.768225593926
HH5HM,776.0107731935142,669.0479334959167
