Sectors,DS0,DSL
IAGMIN,26.064447634108287,25.771768412720597
IUTIL,84.81370071049652,81.30494371220868
ICONS,291.79576954131477,269.2376260077198
IMANU,440.3553019685791,422.4582361643097
IWHOLE,64.65338531840679,56.14712425924945
IRETAIL,356.8637620059942,295.76018343748876
ITRANS,281.2680484700294,269.7723405514642
IPROFSER,948.2563661227155,897.684515198356
IREALE,97.18760641295498,84.62181116674999
IEDU,924.2455604316214,913.5618319302163
IHEALTH,382.8952890277489,366.6119550274931
IART,73.13266970685461,67.23494219761
IACCO,228.0875468162536,210.4965584396063
MAGMIN,84.63765568650743,84.28998221220668
MUTIL,159.668685439442,158.32485966659078
MCONS,784.0131962496075,780.6924452685046
MMANU,1269.8664206342096,1265.956918986709
MWHOLE,240.92721680932505,239.84402480798985
MRETAIL,1016.2459009351445,1010.1776584943063
MTRANS,307.22315211850815,306.1573471066987
MPROFSER,1989.8783565968222,1980.907085710049
MREALE,167.53828042850955,166.49080125743868
MEDU,1090.15524268737,1084.377213539464
MHEALTH,863.2564751009045,859.7607463525595
MART,108.5349479168383,108.2131521272893
MACCO,386.2611214962344,383.96571601508754
HS1I,474.93849970682936,328.36216354220073
HS2I,316.18096741550977,218.600653883761
HS3I,322.73921971843833,221.37980361185086
HS1M,2098.545863646338,2078.986771160973
HS2M,931.3770966684257,922.6963758518075
HS3M,1819.548974484936,1807.8934060917973
