DUMMY,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP
IAGMIN,15,9,53,66,0,0,0,0,2.879828
IUTIL,5,68,77,27,0,0,0,0,80.72537
ICONS,119,270,375,198,0,0,0,0,88.58714
IMANU,15,73,182,189,0,0,0,0,130.5496
IWHOLE,37,74,124,75,0,0,0,0,39.5624
IRETAIL,894,924,200,187,0,0,0,0,742.6952
ITRANS,159,730,989,226,0,0,0,0,39.27621
IPROFSER,915,1065,1432,962,0,0,0,0,341.1937
IREALE,38,133,333,81,0,0,0,0,132.2719
IEDU,1798,2999,7179,1526,0,0,0,0,176.2316
IHEALTH,404,723,1253,462,0,0,0,0,131.416
IART,873,319,224,0,0,0,0,0,35.09628
IACCO,3621,1963,407,8,0,0,0,0,267.9408
MAGMIN,0,0,0,0,67,44,240,300,11.23948
MUTIL,0,0,0,0,15,229,258,90,230.4261
MCONS,0,0,0,0,803,1828,2546,1350,282.3568
MMANU,0,0,0,0,196,965,2449,2535,941.9121
MWHOLE,0,0,0,0,253,496,846,513,280.5434
MRETAIL,0,0,0,0,4035,4175,899,842,3531.478
MTRANS,0,0,0,0,84,388,524,120,109.8632
MPROFSER,0,0,0,0,2810,3265,4392,2952,1643.779
MREALE,0,0,0,0,68,238,599,146,292.8196
MEDU,0,0,0,0,1817,3026,7250,1542,1363.513
MHEALTH,0,0,0,0,1111,1986,3447,1273,814.8701
MART,0,0,0,0,740,271,189,0,228.9991
MACCO,0,0,0,0,5461,2961,616,12,814.5115
HS1I,0,0,0,0,0,0,0,0,213.4641
HS2I,0,0,0,0,0,0,0,0,2131.946
HS3I,0,0,0,0,0,0,0,0,3014.367
HS1M,0,0,0,0,0,0,0,0,708.9388
HS2M,0,0,0,0,0,0,0,0,5142.598
HS3M,0,0,0,0,0,0,0,0,16504.37
COUNTY,5,91,241,91,10,180,481,179,0
STATE,5,84,225,83,10,166,445,165,0
FED,0,7,18,7,0,12,34,12,0
