DUMMY,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4
IHH1,0.854700855,0,0,0,0.145299145,0,0,0
IHH2,0.348983882,0.50385424,0,0,0.060266293,0.086895585,0,0
IHH3,0.187984496,0.390503876,0.275193798,0,0.032299742,0.066860465,0.047157623,0
IHH4,0.121512825,0.170567309,0.454034825,0.107096049,0.020969856,0.029582475,0.074705111,0.021531548
IHH5,0.119175147,0.077396893,0.301821103,0.355382967,0.020353508,0.013122657,0.049276915,0.063470809
MHH1,0.262068966,0,0,0,0.737931034,0,0,0
MHH2,0.10747347,0.155114021,0,0,0.301648228,0.435764281,0,0
MHH3,0.057844361,0.120058261,0.084685809,0,0.162713275,0.337182688,0.237515605,0
MHH4,0.037457024,0.052536341,0.13957416,0.032933229,0.105012365,0.147475722,0.376379758,0.108631401
MHH5,0.036656891,0.023719165,0.092892876,0.109280662,0.102898051,0.066586165,0.249353114,0.318613076
