DUMMY,AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,HS1,HS2,HS3,HS4,COUNTY,STATE,FED
AG_MIN,0.4,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
UTIL_CONS,0.125,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.15,0.55,0.55,0.55,0.55,0,0,0
MANU,0.15,0.325,0.35,0.15,0.15,0.15,0.15,0.05,0.15,0.05,0.2,0.15,0.15,0.2,0.1,0.2,0.2,0.2,0.2,0,0,0
WHOLE,0.05,0.1,0.1,0.15,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
RETAIL,0.05,0.1,0.1,0.15,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
TRANS,0.05,0.1,0.1,0.1,0.1,0.25,0.1,0,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
INFO,0.025,0.05,0.05,0.01,0.05,0.05,0.05,0.1,0.05,0.05,0.1,0.05,0.1,0.055,0.15,0,0,0,0,0,0,0
FINANCE,0,0,0,0.05,0.05,0.05,0.2,0.2,0.2,0.2,0.125,0.2,0.05,0.05,0.05,0,0,0,0,0,0,0
REALE,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0,0,0
PROF_MAN,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0,0,0,0,0,0,0,0,0,0
ADMIN_EDU,0.015,0.02,0.02,0.02,0.02,0.02,0.02,0.15,0.02,0.11,0.02,0.02,0.11,0.11,0.11,0,0,0,0,0,0,0
HEALTH,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
ART,0.005,0.005,0,0.01,0.05,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
ACCO,0.02,0.02,0.02,0.06,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.015,0.05,0.1,0.1,0.1,0.1,0,0,0
OTHER,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
