dummy,AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,L1,L2,L3,L4,KAP,HS1,HS2,HS3,HS4,HH1,HH2,HH3,HH4,HH5,INVES,USSOC1,USSOC2,USSOC3,USSOC4,PROTAX,LOCSTX,OTX,COUNTYSTX,MOSTX,MOITX,USPIT,CYGF,FED,STATE,COUNTY,OUT1,OUT2,OUT3,OUT4,ROW
AG_MIN,0.009929627,0.034496787,0.413402454,0.00013809,0.001372183,0.004845638,0.000337825,5.57E-05,0.001156726,0.001115163,0.002626413,0.00106345,0.000804121,0.002242565,0.000484349,0,0,0,0,0,0,0,0,0,0.324920962,0.488740382,1.427657652,1.543267351,0.671332764,3.457186725,0,0,0,0,0,0,0,0,0,0,0,0,0.019183227,0.000629919,0.000571811,0,0,0,0,0.992116118
UTIL_CONS,0.002839876,0.394133733,0.236914183,0.051165111,0.425675029,0.116634045,0.043422322,0.016807229,0.073090018,0.038884443,0.072057181,0.219830732,0.010422911,0.12292097,0.032250649,0,0,0,0,0,-13.88801063,227.1210739,200.5726595,80.92243856,7.156904054,12.02770436,28.9085396,25.20982769,8.120466894,304.2749811,0,0,0,0,0,0,0,0,0,0,0,0,0.324055118,0.010640982,0.009659388,0,0,0,0,35.8207936
MANU,0.008812468,0.200998133,0.872338948,0.037518301,0.157663271,0.088617617,0.057466592,0.008824054,0.007900711,0.035950325,0.080072527,0.238994795,0.008200789,0.170567632,0.021214727,0,0,0,0,0,0,0,0,0,8.629550469,14.93894535,41.88436855,47.23460849,19.09827059,172.0339624,0,0,0,0,0,0,0,0,0,0,0,0,0.520558653,0.017093559,0.015516737,0,0,0,0,253.2089428
WHOLE,0.005733994,0.141512124,1.088024792,0.133598159,0.28928921,0.284024592,0.051529482,0.003534752,0.008023017,0.025255977,0.076809453,0.404383023,0.005853036,0.102889883,0.030155917,0,0,0,0,0,0,0,0,0,11.9018095,20.5056848,57.23614057,62.3601626,26.66666005,59.23728072,0,0,0,0,0,0,0,0,0,0,0,0,0.705543658,0.023167903,0.021030743,0,0,0,0,25.79027684
RETAIL,6.08E-05,0.214126525,0.041830104,0.001996553,0.069024221,0.057615781,0.001291903,0.000811738,0.005361664,0.001665764,0.011456558,0.010261979,0.001623997,0.041712068,0.022787256,0,0,0,0,0,0,0,0,0,34.44553436,60.2496591,170.195515,193.3470412,87.81737577,59.23728072,0,0,0,0,0,0,0,0,0,0,0,0,2.126644902,0.069832534,0.063390722,0,0,0,0,221.6488093
TRANS,0.002963579,0.074040001,0.447707099,0.258879289,1.084561079,1.168531319,0.051828086,0.026346579,0.004236504,0.04491893,0.124101401,0.194278526,0.014583437,0.067197137,0.018220392,0,0,0,0,0,0,0,0,0,5.081174955,8.497170351,23.69989979,29.2665867,16.40610449,52.70877796,0,0,0,0,0,0,0,0,0,0,0,0,0.336712332,0.011056606,0.010036672,0,0,0,0,167.1736285
INFO,0.000216036,0.020661837,0.120070222,0.139178103,0.622866135,0.074982385,0.69505632,0.089662209,0.007571809,0.163518311,0.251933131,0.303972532,0.01831239,0.087281204,0.037892303,0,0,0,0,0,0,0,0,0,13.25214319,23.39386913,68.61611614,67.25464063,22.46190946,30.42346348,0,0,0,0,0,0,0,0,0,0,0,0,0.768933176,0.025249421,0.022920248,0,0,0,0,25.738416
FINANCE,0.002767717,0.03394771,0.135726088,0.129707454,0.438933705,0.37292266,0.0447175,1.055343128,0.070842069,0.130551418,0.176344545,1.033935095,0.030849471,0.060476911,0.099823254,0,0,0,0,0,0,0,0,0,14.74791325,33.06707134,96.91227976,134.9544849,37.49103905,41.65208267,0,0,0,0,0,0,0,0,0,0,0,0,1.249012179,0.041013752,0.037230373,0,0,0,0,32.26051607
REALE,0.004235403,0.058495621,0.106173898,0.232944382,1.693375415,0.39513104,0.200637266,0.058259522,0.056562525,0.274539194,0.355798012,1.222880252,0.084841405,0.270051229,0.151447809,0,0,0,0,0,0,0,0,0,50.17471821,82.40275075,244.9415907,308.1426355,149.0513816,84.53846581,0,0,0,0,0,0,0,0,0,0,0,0,3.268075231,0.107313626,0.097414311,0,0,0,0,8.172705565
PROF_MAN,0.00175537,0.111839156,0.857217917,0.433481218,1.329928681,0.272760632,0.305144024,0.160025721,0.034311195,0.567176601,0.442218468,1.173922492,0.082096701,0.330448976,0.075604034,0,0,0,0,0,0,0,0,0,5.476114732,5.33699698,18.15567796,18.37617281,15.70903209,20.21073873,0,0,0,0,0,0,0,0,0,0,0,0,0.269390341,0.008845957,0.008029948,0,0,0,0,79.15837323
