Sectors,DS0,DSL
AG_MIA,31.29893477841451,29.934767358514176
UTILA,38.49538709778111,36.83137219640025
CONSTA,43.43237633728836,42.36325154707838
MANUA,187.47299134313533,185.3855040981062
WHOLEA,53.94209801675297,53.12753735610495
RETAILA,218.46204620330695,213.6309472024458
TRANSA,31.640129285342375,30.69538765089568
INFOA,17.438247591183593,17.226577876129326
FINANCEA,69.37216059927385,68.65404498413476
REALEA,17.989379951640377,17.29757803113999
PRO_MANA,49.63732548131732,49.01940907009889
ADMINA,107.9761812553593,107.56678992166896
EDUA,149.1131966112078,147.56369767582783
HEALTHA,266.7038637049526,264.20992152443347
ARTA,8.434155014911557,8.146178591365372
ACCOA,138.25013735004342,135.39646320212648
OTHERA,90.59040753593561,86.96086607344648
AG_MIB,180.71636073066117,174.52087851956446
UTILB,101.05232927801204,97.39846616719397
CONSTB,73.33835845938485,71.9391576778301
MANUB,386.30888306631977,380.7869696653635
WHOLEB,52.90227403131768,51.29685338773892
RETAILB,226.24851112293868,219.7079352484317
TRANSB,68.7475590392353,66.63015004798523
INFOB,8.67943150972331,8.299479391587024
FINANCEB,96.6455016087143,92.91141788824442
REALEB,14.199552730816466,13.582860884061311
PRO_MANB,51.04915032828435,50.20765727870782
ADMINB,42.91329694660594,42.4764639559337
EDUB,197.35365734343944,193.7485022490502
HEALTHB,229.6527543969683,225.67696549418937
ARTB,15.089517570129848,14.49502246460935
ACCOB,166.9329189150315,160.99175315717505
OTHERB,168.66638687964956,161.58308669937952
HS1A,13.672366067213215,13.054564589426692
HS2A,52.452107036500465,50.08199862651141
HS3A,133.40716295210777,127.37900775566581
HS4A,246.75433757074117,235.6044607003361
HS1B,29.441597307002862,28.10831414678663
HS2B,123.78007272629095,118.17460620965382
HS3B,247.2524453736709,236.05544670801618
HS4B,372.1934918704131,355.338451170096
