DUMMY,HH0,HW0,HHN0,HHOUT
HH1WA,425,137,159,129
HH2WA,1049,339,392,318
HH3WA,3699,1195,1382,1122
HH4WA,3336,1078,1246,1012
HH5WA,389,126,145,118
HH1BA,824,266,308,250
HH2BA,1239,400,463,376
HH3BA,2751,888,1029,834
HH4BA,983,317,368,298
HH5BA,43,14,16,13
HH1IA,594,192,222,180
HH2IA,2043,659,765,619
HH3IA,3450,1114,1290,1046
HH4IA,3035,977,1140,918
HH5IA,385,124,145,116
HH1WB,735,237,275,223
HH2WB,1809,584,676,549
HH3WB,6398,2067,2390,1941
HH4WB,5772,1864,2157,1751
HH5WB,678,219,253,206
HH1BB,1424,460,532,432
HH2BB,2139,691,799,649
HH3BB,4747,1533,1774,1440
HH4BB,1704,550,637,517
HH5BB,75,24,28,23
HH1IB,1025,331,383,311
HH2IB,3523,1138,1316,1069
HH3IB,5972,1929,2231,1812
HH4IB,5239,1692,1958,1589
HH5IB,667,216,249,202
