DUMMY,L1WA,L2WA,L3WA,L4WA,L1BA,L2BA,L3BA,L4BA,L1IA,L2IA,L3IA,L4IA,L1WB,L2WB,L3WB,L4WB,L1BB,L2BB,L3BB,L4BB,L1IB,L2IB,L3IB,L4IB
HH1WA,0.364963504,0,0,0,0,0,0,0,0.058394161,0,0,0,0.496350365,0,0,0,0,0,0,0,0.080291971,0,0,0
HH2WA,0.150442478,0.256637168,0,0,0,0,0,0,0.014749263,0,0,0,0.206489676,0.353982301,0,0,0,0,0,0,0.017699115,0,0,0
HH3WA,0.031799163,0.216736402,0.122175732,0,0,0.009205021,0,0,0.012552301,0.018410042,0.010041841,0,0.044351464,0.29790795,0.168200837,0,0,0.012552301,0,0,0.016736402,0.025104603,0.014225941,0
HH4WA,0.065862709,0.098330241,0.229128015,0.010204082,0,0,0,0,0.005565863,0.004638219,0.00742115,0,0.089981447,0.135435993,0.314471243,0.013914657,0,0.000927644,0,0,0.00742115,0.005565863,0.011131725,0
HH5WA,0.111111111,0.047619048,0.087301587,0.174603175,0,0,0,0,0,0,0,0,0.150793651,0.063492063,0.119047619,0.246031746,0,0,0,0,0,0,0,0
HH1BA,0,0,0,0,0.421052632,0,0,0,0,0,0,0,0,0,0,0,0.578947368,0,0,0,0,0,0,0
HH2BA,0,0,0,0,0.11,0.3125,0,0,0,0,0,0,0,0,0,0,0.15,0.4275,0,0,0,0,0,0
HH3BA,0,0,0,0,0.131756757,0.219594595,0.067567568,0.002252252,0,0,0,0,0,0,0,0,0.181306306,0.301801802,0.095720721,0,0,0,0,0
HH4BA,0,0,0,0,0.148264984,0.100946372,0.167192429,0.006309148,0,0,0,0,0,0,0,0,0.201892744,0.138801262,0.227129338,0.009463722,0,0,0,0
HH5BA,0,0,0,0,0.142857143,0.071428571,0.071428571,0.071428571,0,0,0,0,0,0,0,0,0.214285714,0.142857143,0.285714286,0,0,0,0,0
HH1IA,0,0,0,0,0,0,0,0,0.421875,0,0,0,0,0,0,0,0,0,0,0,0.578125,0,0,0
HH2IA,0,0,0,0,0,0,0,0,0.203338392,0.216995448,0,0,0,0,0,0,0,0,0,0,0.280728376,0.298937785,0,0
HH3IA,0,0,0,0,0,0,0,0,0.05475763,0.254039497,0.112208259,0,0,0,0,0,0,0,0,0,0.07540395,0.349192101,0.154398564,0
HH4IA,0,0,0,0,0,0,0.008188332,0,0.044012282,0.147389969,0.222108495,0,0,0,0,0,0,0,0.011258956,0,0.060388946,0.201637666,0.305015353,0
HH5IA,0,0,0,0,0,0,0,0,0.040322581,0,0.290322581,0.088709677,0,0,0,0,0,0,0,0,0.056451613,0,0.403225806,0.120967742
HH1WB,0.793248945,0,0,0,0,0,0,0,0.126582278,0,0,0,0.067510549,0,0,0,0,0,0,0,0.012658228,0,0,0
HH2WB,0.328767123,0.565068493,0,0,0,0,0,0,0.029109589,0,0,0,0.02739726,0.047945205,0,0,0,0,0,0,0.001712329,0,0,0
HH3WB,0.070149976,0.475084664,0.26850508,0,0,0.019351717,0,0,0.027092404,0.039671021,0.021770682,0,0.005805515,0.040638607,0.022738268,0,0,0.001451379,0,0,0.002418965,0.003386551,0.001935172,0
HH4WB,0.143776824,0.215128755,0.5,0.021995708,0,0.001609442,0,0,0.012339056,0.009656652,0.016630901,0,0.012339056,0.018240343,0.042918455,0.001609442,0,0,0,0,0.001072961,0.001072961,0.001609442,0
HH5WB,0.237442922,0.100456621,0.196347032,0.388127854,0,0,0,0,0,0,0,0,0.01826484,0.00913242,0.01826484,0.03196347,0,0,0,0,0,0,0,0
HH1BB,0,0,0,0,0.92173913,0,0,0,0,0,0,0,0,0,0,0,0.07826087,0,0,0,0,0,0,0
HH2BB,0,0,0,0,0.23878437,0.683068017,0,0,0,0,0,0,0,0,0,0,0.020260492,0.05788712,0,0,0,0,0,0
HH3BB,0,0,0,0,0.288323549,0.482061318,0.150032616,0.000652316,0,0,0,0,0,0,0,0,0.024787997,0.04109589,0.011741683,0.001304631,0,0,0,0
HH4BB,0,0,0,0,0.321818182,0.221818182,0.372727273,0.003636364,0,0,0,0,0,0,0,0,0.027272727,0.018181818,0.030909091,0.003636364,0,0,0,0
HH5BB,0,0,0,0,0.375,0.208333333,0.291666667,0.041666667,0,0,0,0,0,0,0,0,0.041666667,0,0,0.041666667,0,0,0,0
HH1IB,0,0,0,0,0,0,0,0,0.921450151,0,0,0,0,0,0,0,0,0,0,0,0.078549849,0,0,0
HH2IB,0,0,0,0,0,0,0,0,0.446397188,0.475395431,0,0,0,0,0,0,0,0,0,0,0.037785589,0.040421793,0,0
HH3IB,0,0,0,0,0,0,0,0,0.120787973,0.554173147,0.246241576,0,0,0,0,0,0,0,0,0,0.010368066,0.047174702,0.021254536,0
HH4IB,0,0,0,0,0,0,0.017730496,0,0.096926714,0.321513002,0.48463357,0,0,0,0,0,0,0,0.00177305,0,0.008274232,0.027777778,0.041371158,0
HH5IB,0,0,0,0,0,0,0,0,0.092592593,0,0.634259259,0.189814815,0,0,0,0,0,0,0,0,0.009259259,0,0.055555556,0.018518519
