DUMMY,OUT1,OUT2,OUT3,OUT4
HH1WA,0.941605839,0,0,0
HH2WA,0.365781711,0.572271386,0,0
HH3WA,0.09874477,0.543933054,0.29623431,0
HH4WA,0.158627087,0.230055659,0.527829314,0.022263451
HH5WA,0.246031746,0.095238095,0.198412698,0.396825397
HH1BA,0.939849624,0,0,0
HH2BA,0.2425,0.6975,0,0
HH3BA,0.293918919,0.489864865,0.155405405,0
HH4BA,0.32807571,0.227129338,0.384858044,0
HH5BA,0.357142857,0.214285714,0.285714286,0.071428571
HH1IA,0.9375,0,0,0
HH2IA,0.455235205,0.484066768,0,0
HH3IA,0.122980251,0.565529623,0.250448833,0
HH4IA,0.09825998,0.328556807,0.512794268,0
HH5IA,0.088709677,0,0.653225806,0.193548387
HH1WB,0.94092827,0,0,0
HH2WB,0.364726027,0.575342466,0,0
HH3WB,0.098693759,0.544267054,0.296081277,0
HH4WB,0.158798283,0.230686695,0.527360515,0.022532189
HH5WB,0.242009132,0.105022831,0.200913242,0.392694064
HH1BB,0.939130435,0,0,0
HH2BB,0.243125904,0.696092619,0,0
HH3BB,0.293542074,0.490541422,0.155251142,0
HH4BB,0.329090909,0.225454545,0.385454545,0
HH5BB,0.375,0.208333333,0.333333333,0.041666667
HH1IB,0.939577039,0,0,0
HH2IB,0.455184534,0.484182777,0,0
HH3IB,0.12337999,0.565059616,0.250907206,0
HH4IB,0.098699764,0.328014184,0.512411348,0
HH5IB,0.097222222,0,0.643518519,0.194444444
