Household Group,Y0,YL
HH1_R1,82.38582044131603,81.94584396828756
HH2_R1,305.25020292408993,302.812048491336
HH3_R1,557.816697252131,553.3460723218242
HH4_R1,1191.473067366685,1180.2057769151966
HH1_R2,213.04561299165704,212.39593986029806
HH2_R2,334.846374056743,332.39197907750577
HH3_R2,722.9024510931129,717.3429042504688
HH4_R2,2135.9422991027805,2116.0659397498653
HH1_R3,131.53607973785185,131.07065669105089
HH2_R3,743.7738790840616,737.9412768384014
HH3_R3,1673.4936871641266,1659.4471764223495
HH4_R3,2094.0164096689,2075.09573136073
HH1_R4,96.06347157547755,95.64500181687166
HH2_R4,522.0770177704931,518.1608790295775
HH3_R4,757.8839271084686,752.067452915561
HH4_R4,2729.7025819102173,2704.2814426751097
HH1_R5,97.7007670207957,97.45620552043167
HH2_R5,419.064843111032,416.00324592368236
HH3_R5,1127.5290019329746,1118.7880159218043
HH4_R5,4069.589010329887,4030.660265625121
HH1_R6,26.80781477991496,26.71933830539268
HH2_R6,289.1224656486041,287.07978089687833
HH3_R6,771.1272083613856,765.2625654984068
HH4_R6,3483.226612068412,3450.3539663912647
HH1_R7,26.84358606854123,26.683497954077513
HH2_R7,346.65033647014064,344.00746005122664
HH3_R7,605.6634869831215,600.759307110525
HH4_R7,2609.9943175920644,2585.7667665065123
