Household Group,HH0,HHL
HH1_R1,6968.051073938855,6965.196301198034
HH2_R1,16701.25312000745,16689.408252743997
HH3_R1,28580.29944548157,28562.030438267942
HH4_R1,39338.519704481274,39308.75160677367
HH1_R2,19106.061238412974,19099.21509773564
HH2_R2,14443.943277470597,14434.728004671259
HH3_R2,27868.037856889012,27849.61766377419
HH4_R2,45630.00905382148,45592.605785873755
HH1_R3,12999.81935460401,12994.675828083678
HH2_R3,39072.8659035735,39043.549647597654
HH3_R3,72628.87862548193,72575.76866152602
HH4_R3,73720.34995140109,73666.35677830169
HH1_R4,8430.076412817776,8427.10573088418
HH2_R4,25504.981721263895,25488.63638724807
HH3_R4,33452.67781259956,33432.44197648
HH4_R4,67514.22241757727,67461.23739907281
HH1_R5,10894.53162892005,10891.263984881207
HH2_R5,21796.540196851893,21783.984975852425
HH3_R5,48540.35717046673,48511.832244414756
HH4_R5,104339.68960538773,104258.845911452
HH1_R6,2729.987318267747,2729.2235538101922
HH2_R6,15799.835734965789,15790.856529083929
HH3_R6,33895.08241356304,33875.804380674155
HH4_R6,90594.54599506254,90527.1502845874
HH1_R7,1977.9766377863127,1977.1921004532815
HH2_R7,18034.271786062272,18022.938606181546
HH3_R7,25787.870464147643,25772.137286200723
HH4_R7,71936.97371969855,71885.41489703463
