DUMMY,L1W_R1,L2W_R1,L3W_R1,L4W_R1,L1W_R2,L2W_R2,L3W_R2,L4W_R2,L1W_R3,L2W_R3,L3W_R3,L4W_R3,L1W_R4,L2W_R4,L3W_R4,L4W_R4,L1W_R5,L2W_R5,L3W_R5,L4W_R5,L1W_R6,L2W_R6,L3W_R6,L4W_R6,L1W_R7,L2W_R7,L3W_R7,L4W_R7,KAP
AG_MI_R1,100,0,110,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32343
UTIL_R1,0,0,614,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.60789
CONS_R1,297,789,594,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44545
MANU_R1,1361,5888,4984,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.3874
COMMER_R1,5621,10525,13657,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413.324
EDU_R1,647,892,414,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.195087
HEALTH_R1,336,678,279,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.30652
ART_ACC_R1,2099,1193,184,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.9359
RELIG_R1,188,165,158,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.7312
AG_MI_R2,0,0,0,0,30,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226855
UTIL_R2,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.0497
CONS_R2,0,0,0,0,584,484,2357,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16167
MANU_R2,0,0,0,0,216,829,1779,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96456
COMMER_R2,0,0,0,0,14909,16620,26780,10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4347.564
EDU_R2,0,0,0,0,1643,1535,1907,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077.981
HEALTH_R2,0,0,0,0,4759,9152,9746,4802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.174
ART_ACC_R2,0,0,0,0,6342,8562,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.836
RELIG_R2,0,0,0,0,434,837,424,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.8778
AG_MI_R3,0,0,0,0,0,0,0,0,176,103,231,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTIL_R3,0,0,0,0,0,0,0,0,0,213,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.4826
CONS_R3,0,0,0,0,0,0,0,0,1973,5953,5979,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.0633
MANU_R3,0,0,0,0,0,0,0,0,848,10348,10745,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.9967
COMMER_R3,0,0,0,0,0,0,0,0,22452,40748,37573,8950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6324.506
EDU_R3,0,0,0,0,0,0,0,0,3148,2132,5173,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.54747
HEALTH_R3,0,0,0,0,0,0,0,0,2039,7944,4719,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7495
ART_ACC_R3,0,0,0,0,0,0,0,0,4001,4541,938,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.0348
RELIG_R3,0,0,0,0,0,0,0,0,158,345,230,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.366
AG_MI_R4,0,0,0,0,0,0,0,0,0,0,0,0,23,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
UTIL_R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,17.64995
CONS_R4,0,0,0,0,0,0,0,0,0,0,0,0,409,255,1154,218,0,0,0,0,0,0,0,0,0,0,0,0,2.718651
MANU_R4,0,0,0,0,0,0,0,0,0,0,0,0,48,380,494,175,0,0,0,0,0,0,0,0,0,0,0,0,2.387753
COMMER_R4,0,0,0,0,0,0,0,0,0,0,0,0,7005,11152,10776,4508,0,0,0,0,0,0,0,0,0,0,0,0,1514.915
EDU_R4,0,0,0,0,0,0,0,0,0,0,0,0,8093,6742,10391,3668,0,0,0,0,0,0,0,0,0,0,0,0,15.98366
HEALTH_R4,0,0,0,0,0,0,0,0,0,0,0,0,2247,3134,5754,2576,0,0,0,0,0,0,0,0,0,0,0,0,777.8064
ART_ACC_R4,0,0,0,0,0,0,0,0,0,0,0,0,3286,2824,1229,143,0,0,0,0,0,0,0,0,0,0,0,0,165.8875
RELIG_R4,0,0,0,0,0,0,0,0,0,0,0,0,228,436,230,93,0,0,0,0,0,0,0,0,0,0,0,0,45.82616
AG_MI_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,104,239,0,0,0,0,0,0,0,0,0
UTIL_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,40.22423
CONS_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743,1880,3526,572,0,0,0,0,0,0,0,0,0.732834
MANU_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,1652,2506,2163,0,0,0,0,0,0,0,0,706.6362
COMMER_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14797,24388,30480,13588,0,0,0,0,0,0,0,0,3101.648
EDU_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074,1995,3003,356,0,0,0,0,0,0,0,0,36.60337
HEALTH_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,2580,4527,1347,0,0,0,0,0,0,0,0,419.9681
ART_ACC_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7034,5527,2294,201,0,0,0,0,0,0,0,0,501.4994
RELIG_R5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,548,537,100,0,0,0,0,0,0,0,0,86.28852
AG_MI_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,114,10,0,0,0,0,0.671073
UTIL_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,171,37,0,0,0,0,28.3906
CONS_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,1054,3110,953,0,0,0,0,5.839408
MANU_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1340,2267,510,0,0,0,0,40.35103
COMMER_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6943,9706,8802,6767,0,0,0,0,1224.491
EDU_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670,1859,1761,183,0,0,0,0,18.75531
HEALTH_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,2684,2393,610,0,0,0,0,286.8313
ART_ACC_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3919,1519,1456,359,0,0,0,0,52.39905
RELIG_R6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,174,123,154,0,0,0,0,8.885036
AG_MI_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,169,232,0.085555
UTIL_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,56,0,2.574088
CONS_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1855,1773,393,0.615061
MANU_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,1510,1179,372,3.1915
COMMER_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611,2496,3450,1428,492.5688
EDU_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,1020,1492,368,1.132406
HEALTH_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,828,1498,518,111.1063
ART_ACC_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,346,240,0,19.894
RELIG_R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,49,18,0,10.45709
HS1_R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951.061
HS2_R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.8371
HS1_R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2798.116
