DUMMY,L1W_R1,L2W_R1,L3W_R1,L4W_R1,L1W_R2,L2W_R2,L3W_R2,L4W_R2,L1W_R3,L2W_R3,L3W_R3,L4W_R3,L1W_R4,L2W_R4,L3W_R4,L4W_R4,L1W_R5,L2W_R5,L3W_R5,L4W_R5,L1W_R6,L2W_R6,L3W_R6,L4W_R6,L1W_R7,L2W_R7,L3W_R7,L4W_R7
HH1_R1,0.088404133,0.065729047,0,0,0.10706085,0.079506315,0,0,0.205797933,0.152985075,0,0,0.053960964,0.040183697,0,0,0.06228473,0.046211251,0,0,0.035591274,0.026406429,0,0,0.020665901,0.0152124,0,0
HH2_R1,0.048029704,0.067672775,0.038327943,0,0.058330339,0.082045754,0.046233082,0,0.11198946,0.157623668,0.089112469,0,0.029344832,0.041202539,0.023116541,0,0.033896275,0.04767038,0.02706911,0,0.019403521,0.02730866,0.015690502,0,0.011139059,0.015690502,0.009102887,0
HH3_R1,0.048152296,0.055221165,0.050601904,0,0.058370661,0.066979283,0.061380179,0,0.112192049,0.128709406,0.117931131,0,0.029325308,0.033664614,0.030865062,0,0.033944569,0.038983763,0.035694289,0,0.019456887,0.022326428,0.02043673,0,0.011198208,0.012807951,0.011758119,0
HH4_R1,0.012712295,0.055120513,0.071646496,0.014542866,0.015407302,0.066815824,0.086850402,0.017593817,0.029645073,0.128445032,0.166887013,0.033814706,0.007779925,0.033611309,0.043679447,0.008847758,0.009000305,0.038899624,0.050544086,0.010220685,0.005135767,0.022271941,0.028933184,0.005847656,0.002949253,0.012813994,0.016627682,0.003356046
HH1_R2,0.045849471,0.01612059,0,0,0.304197634,0.106772742,0,0,0.132105098,0.046372867,0,0,0.135664189,0.047629017,0,0,0.086046268,0.030147598,0,0,0.027635298,0.009735162,0,0,0.00868837,0.003035696,0,0
HH2_R2,0.008863038,0.028804875,0.024234871,0,0.058994599,0.19097078,0.16091954,0,0.02561972,0.0829525,0.070073397,0,0.026312145,0.085168259,0.071873702,0,0.016618197,0.05400914,0.045700042,0,0.005400914,0.017310622,0.014402437,0,0.00166182,0.005400914,0.004708489,0
HH3_R2,0.004594071,0.025554519,0.031656019,7.17824E-05,0.030292154,0.169837054,0.21025052,0.000717824,0.013136171,0.07372048,0.091307157,0.000287129,0.013495083,0.075730385,0.093747757,0.000287129,0.0085421,0.048022396,0.059435791,0.000215347,0.00272773,0.015433207,0.019094107,7.17824E-05,0.000861388,0.0048812,0.006029718,0
HH4_R2,0.007496383,0.010389724,0.02481259,0.019201263,0.049800535,0.068957959,0.164876595,0.127438517,0.02161238,0.029941695,0.071588269,0.055324186,0.02218228,0.030730788,0.073517163,0.056814695,0.014072158,0.019508132,0.046600324,0.036035246,0.004515365,0.006268905,0.014948928,0.011573364,0.00144667,0.001972732,0.004734558,0.003638595
HH1_R3,0.080615385,0.021076923,0,0,0.124153846,0.032461538,0,0,0.301076923,0.078615385,0,0,0.088615385,0.023076923,0,0,0.108615385,0.028307692,0,0,0.061692308,0.016153846,0,0,0.028153846,0.007384615,0,0
HH2_R3,0.024627515,0.054272695,0.022784292,0,0.037939686,0.08361067,0.034918847,0,0.092058778,0.202754595,0.084890687,0,0.027085147,0.059699964,0.02503712,0,0.033229225,0.073114536,0.030669193,0,0.018841841,0.041523732,0.017408223,0,0.00860171,0.018995443,0.007936102,0
HH3_R3,0.015588851,0.042635232,0.043406412,0,0.024016746,0.065688003,0.066844773,0,0.058224083,0.159331277,0.162168117,0,0.017131211,0.046904264,0.047730528,0,0.021014652,0.057480445,0.058499504,0,0.011925746,0.032637435,0.03321582,0,0.005453344,0.01492784,0.015175719,0
HH4_R3,0.013701975,0.034458433,0.046261124,0.007190145,0.021109182,0.053098546,0.071277404,0.011097243,0.051172129,0.128771435,0.172861949,0.026888431,0.015058606,0.037904276,0.050873671,0.007922726,0.018450185,0.046451053,0.062350771,0.009686347,0.010500326,0.026400043,0.035435207,0.005507923,0.004802474,0.012046885,0.016198177,0.002523334
HH1_R4,0.038671412,0.022064057,0,0,0.159193357,0.090865955,0,0,0.148754448,0.084934757,0,0,0.144958482,0.082562278,0,0,0.101304864,0.057888493,0,0,0.032977461,0.018979834,0,0,0.010676157,0.006168446,0,0
HH2_R4,0.013882353,0.027372549,0.019529412,0,0.057176471,0.112705882,0.080235294,0,0.053411765,0.105333333,0.075058824,0,0.052,0.102509804,0.073098039,0,0.036392157,0.071686275,0.051058824,0,0.011921569,0.02345098,0.01654902,0,0.003843137,0.007529412,0.005254902,0
HH3_R4,0.011780183,0.022424206,0.02655026,0,0.048555881,0.092387729,0.109250733,0,0.045326795,0.086288345,0.102074987,0,0.044130838,0.084016026,0.099384082,0,0.030855708,0.058781319,0.06948514,0,0.010105842,0.01919512,0.022723196,0,0.003229086,0.006159182,0.007295342,0
HH4_R4,0.009777198,0.012799242,0.022487556,0.015732401,0.040234653,0.052648732,0.09252785,0.064707277,0.037597772,0.049182271,0.086454136,0.060470491,0.036590424,0.047908272,0.084202418,0.058870585,0.025598483,0.033479498,0.058870585,0.041153117,0.00835506,0.010932685,0.01922849,0.013451055,0.002696137,0.003525717,0.006192226,0.00432567
HH1_R5,0.045529649,0.005874793,0,0,0.14117863,0.018175142,0,0,0.178263264,0.022948412,0,0,0.117312282,0.015237746,0,0,0.298329356,0.038553332,0,0,0.081512759,0.010464476,0,0,0.023499174,0.003120984,0,0
HH2_R5,0.012754634,0.025692788,0.013029914,0,0.039640301,0.079647642,0.040099101,0,0.050009176,0.100477152,0.050743256,0,0.032941824,0.066158928,0.033308864,0,0.08377684,0.168195999,0.084786199,0,0.022939989,0.045971738,0.023307029,0,0.006606717,0.013305194,0.006606717,0
HH3_R5,0.009108144,0.019205407,0.023079459,0,0.028272338,0.059553248,0.071587537,0,0.035690735,0.075173096,0.090339598,0,0.023491592,0.049497197,0.059470821,0,0.059718101,0.12586548,0.151252885,0,0.016320475,0.034413122,0.041378173,0,0.004698318,0.00993241,0.011951863,0
HH4_R5,0.008224378,0.010812469,0.020455504,0.011924389,0.02551666,0.033510985,0.063379472,0.036980944,0.032226525,0.042310494,0.080019938,0.046681492,0.021203175,0.027836356,0.052662858,0.030712013,0.053928147,0.070817837,0.133948085,0.078122005,0.014761704,0.019362754,0.036635865,0.021375714,0.004255972,0.005597945,0.010563245,0.006173076
HH1_R6,0.048351648,0.011721612,0,0,0.106227106,0.025641026,0,0,0.19047619,0.046153846,0,0,0.077655678,0.019047619,0,0,0.179487179,0.043956044,0,0,0.151648352,0.037362637,0,0,0.04981685,0.012454212,0,0
HH2_R6,0.019493671,0.026202532,0.014556962,0,0.042911392,0.057721519,0.031898734,0,0.076708861,0.103164557,0.056962025,0,0.031265823,0.042025316,0.023037975,0,0.072278481,0.097088608,0.053544304,0,0.061265823,0.082405063,0.045316456,0,0.020126582,0.026962025,0.015063291,0
HH3_R6,0.014576571,0.017586309,0.027972853,0,0.03216288,0.038772499,0.061611095,0,0.057480083,0.06922396,0.110061965,0,0.02342874,0.028208911,0.044850988,0,0.054116258,0.065210977,0.103629389,0,0.045913249,0.055296548,0.087931543,0,0.015048687,0.018117439,0.028799056,0
HH4_R6,0.010112831,0.015677096,0.019298284,0.015036764,0.022279141,0.034555852,0.042548963,0.033142706,0.039788911,0.061736846,0.076000795,0.059219678,0.016229106,0.025171675,0.030978825,0.024133896,0.037470467,0.058159818,0.071584712,0.055775133,0.0317958,0.049305571,0.060721146,0.047296253,0.010421957,0.016162865,0.019894456,0.015500453
