Sectors,DS0,DSL
AG_MI_R1,106.13092997645664,107.96106226877653
UTIL_R1,564.8837376328585,527.9827039835744
CONS_R1,2380.133290506876,2376.5115341630035
MANU_R1,4341.05559855237,4250.153974731087
COMMER_R1,23838.022556956454,22724.21744790494
EDU_R1,4181.920310400172,4167.183968334358
HEALTH_R1,5373.319263547638,5185.594781464499
ART_ACC_R1,2544.0720073186603,2409.506399686687
RELIG_R1,394.4071321780039,366.5679976646988
AG_MI_R2,194.2637414461246,197.30163977861193
UTIL_R2,135.02934493121174,126.928841909418
CONS_R2,1753.114319648588,1768.9220348287454
MANU_R2,2117.721325749986,2085.61744101973
COMMER_R2,14680.249766870542,14192.648414490817
EDU_R2,1258.6493729831413,1244.6620597522688
HEALTH_R2,2061.0918335295655,2026.757612625727
ART_ACC_R2,1354.9723713664187,1291.6922787315154
RELIG_R2,168.84558438216976,165.02565351467805
HS1_R1,3220.325776202323,2324.6045705889424
HS2_R1,2295.806352544006,1657.2366621328897
HS3_R1,3302.115651111262,2383.6449071284787
HS1_R2,1408.1203820580583,1186.726595632876
HS2_R2,2556.3094286052674,2154.3899401334575
HS3_R2,3609.73034510112,3042.185212300875
