dummy,AG_MI_R1,UTIL_R1,CONS_R1,MANU_R1,COMMER_R1,EDU_R1,HEALTH_R1,ART_ACC_R1,RELIG_R1,AG_MI_R2,UTIL_R2,CONS_R2,MANU_R2,COMMER_R2,EDU_R2,HEALTH_R2,ART_ACC_R2,RELIG_R2,L1W_R1,L2W_R1,L3W_R1,L4W_R1,L1W_R2,L2W_R2,L3W_R2,L4W_R2,KAP,INVES,HS1_R1,HS2_R1,HS3_R1,HS1_R2,HS2_R2,HS3_R2,HH1_R1,HH2_R1,HH3_R1,HH4_R1,HH1_R2,HH2_R2,HH3_R2,HH4_R2,USSOC1_R1,USSOC2_R1,USSOC3_R1,USSOC4_R1,USSOC1_R2,USSOC2_R2,USSOC3_R2,USSOC4_R2,PROTAX,UTSTX,COUNTYSTX,UTITX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
AG_MI_R1,10.40588857,32.39892754,18.9904626,200.9299465,16.45130373,4.264963077,0.921433159,7.303490882,0.206186009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7379426,0,0,0,0,0,0,5.009819042,5.543272403,11.9096501,9.454657017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438704332,0.339442698,0.226295132,0,0,0,0,96.43139279
UTIL_R1,1.497818054,253.6100365,6.489441166,47.6760446,168.7658233,98.73121797,31.1708208,41.90495796,1.765859015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.9070558,0,0,0,0,0,0,56.33160678,50.96878638,104.5278053,66.71630404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.132988094,0.975122268,0.650081512,0,0,0,0,283.790999
CONS_R1,2.360271957,6.816451186,1.127725567,29.29416387,261.9060995,7.699052004,13.39990805,18.65025543,1.086965882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970.3660697,1119.27737,797.9453866,1147.704791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.521131985,0.358890381,0.239260254,0,0,0,0,2162.462074
MANU_R1,8.651880939,9.243042296,317.2359883,434.1099085,583.8595068,108.7673165,189.7704357,144.9494657,7.206496921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.7891232,0,0,0,0,0,0,202.3983922,197.3540685,451.9898985,335.7730445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29136122,3.135915709,2.090610473,0,0,0,0,3501.698831
COMMER_R1,17.57523016,52.68913354,600.0185529,1078.597088,8839.690917,1336.832243,1655.539317,889.0450091,86.01871796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.799712,0,0,0,0,0,0,1859.005655,1924.467765,4889.844978,4183.224811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.8028769,28.73773039,19.15848693,0,0,0,0,14420.99949
EDU_R1,0.043278538,0.06475964,0.034173665,0.038624649,37.42542973,45.19740231,0.251467876,5.319717431,0.002379372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.59399193,0,0,0,0,0,0,76.79918572,54.13737908,160.3691472,251.4433166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804299345,0.661636248,0.441090832,0,0,0,0,3798.169198
HEALTH_R1,0,0,0,0,0.549470526,0,59.751092,0.173653131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65671516,0,0,0,0,0,0,764.2808773,576.7570611,1541.141976,1273.490932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73370442,4.419962486,2.946641657,0,0,0,0,4339.916563
ART_ACC_R1,0.215413691,1.528750612,3.922871239,17.2368335,170.0547229,58.72336716,62.75360858,93.73308479,1.829032109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.0753444,0,0,0,0,0,0,232.7822194,247.0724047,703.0086465,665.6196871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.03516439,2.367660402,1.578440268,0,0,0,0,1793.708493
RELIG_R1,0.050175815,0.353126277,2.425503492,1.998117992,30.8056363,5.880025075,6.804989388,2.751868683,0.60689044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94566103,0,0,0,0,0,0,66.57122497,65.29705526,166.5397031,139.8813239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177076773,0.513651622,0.342434415,0,0,0,0,278.51895
AG_MI_R2,0,0,0,0,0,0,0,0,0,19.05009824,7.746321914,13.98811056,97.99958645,10.1344945,1.284069411,0.353318277,3.891492753,0.088445432,0,0,0,0,0,0,0,0,0,5.17257512,0,0,0,0,0,0,0,0,0,0,1.775126876,3.1269982,8.414274439,10.98322274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794624584,0.187480851,0.124987234,0,0,0,0,176.5373032
UTIL_R2,0,0,0,0,0,0,0,0,0,2.742060985,60.63611153,4.780032082,23.25304284,103.9647883,29.7254008,11.95227304,22.32806788,0.757481868,0,0,0,0,0,0,0,0,0,194.7346538,0,0,0,0,0,0,0,0,0,0,19.95995231,28.75184398,73.84983043,77.50254993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.044833613,0.482450649,0.321633766,0,0,0,0,67.8521359
CONS_R2,0,0,0,0,0,0,0,0,0,4.320958498,1.629758428,0.830666964,14.28764599,161.3419805,2.317984233,5.138118136,9.937348455,0.46626426,0,0,0,0,0,0,0,0,0,764.3640946,0,0,0,472.039449,856.9429925,1210.077735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889868,0.209952239,0.139968159,0,0,0,0,1592.83948
MANU_R2,0,0,0,0,0,0,0,0,0,15.83903006,2.209936764,233.6716156,211.7284767,359.6748963,32.74700892,72.76638868,77.23290197,3.091294777,0,0,0,0,0,0,0,0,0,445.5643052,0,0,0,0,0,0,0,0,0,0,71.71572918,111.3287914,319.3349104,390.0585849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.448536973,1.993317267,1.328878178,0,0,0,0,1707.883983
COMMER_R2,0,0,0,0,0,0,0,0,0,32.17503809,12.5975463,441.9653187,526.0642848,5445.51365,402.4854048,634.8070868,473.7066514,36.89853982,0,0,0,0,0,0,0,0,0,680.9406278,0,0,0,0,0,0,0,0,0,0,658.7006183,1085.605541,3454.719261,4859.540624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.26769377,18.93806945,12.62537963,0,0,0,0,8883.766448
EDU_R2,0,0,0,0,0,0,0,0,0,0.079230177,0.015483507,0.025171846,0.018838404,23.05518263,13.60776183,0.09642392,2.834485886,0.001020654,0,0,0,0,0,0,0,0,0,30.29797308,0,0,0,0,0,0,0,0,0,0,27.21222014,30.53926898,113.3022385,292.0949905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.234469769,0.527192718,0.351461812,0,0,0,0,1016.471039
HEALTH_R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338490257,0,22.91121464,0.092526973,0,0,0,0,0,0,0,0,0,0,7.921808251,0,0,0,0,0,0,0,0,0,0,270.8072915,325.3526367,1088.830606,1479.380429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16404699,3.341814034,2.227876023,0,0,0,0,1664.116196
ART_ACC_R2,0,0,0,0,0,0,0,0,0,0.394358631,0.365511925,2.88953238,8.40692283,104.7587889,17.6800779,24.06251246,49.94346211,0.784580562,0,0,0,0,0,0,0,0,0,183.7719701,0,0,0,0,0,0,0,0,0,0,82.48161669,139.3752478,496.6819036,773.232627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.558350398,1.783289865,1.18885991,0,0,0,0,955.7352386
