Sectors,DS0,DSL
GOODSA,1913.4462192144279,1518.5015429520047
TRADEA,2377.3251253598223,1792.072388521092
OTHERA,14994.000740475229,12858.408395677112
HS1A,154.177287202969,87.64568034426279
HS2A,135.84264434374415,78.66878518749837
HS3A,193.64686379576463,100.65814577449684
GOODSB,472.3570354134433,390.36820176224165
TRADEB,1419.9057254557765,1155.117402640964
OTHERB,3640.9938134242916,3099.044583470593
HS1B,139.62399142682736,83.00304887246189
HS2B,157.60438859565264,96.33953127221925
HS3B,152.6986062886172,95.62859038893927
GOODSC,507.15088107036144,429.94089836275595
TRADEC,1279.2632883412937,1071.2371180607108
OTHERC,1738.638333508664,1454.6519773497967
HS1C,115.14918248849727,66.77821271539688
HS2C,85.60221822542047,51.96838786580293
HS3C,120.75011909098492,65.20385932351655
GOODSD,798.8567823420748,709.3630841185912
TRADED,996.0505229350993,834.2482296466728
OTHERD,968.7986019791667,780.318341090282
HS1D,68.63762014427468,39.804108058846516
HS2D,204.3140771085735,125.65706038144334
HS3D,96.9659440289366,53.271395398021
GOODSE,470.15432898354294,420.19347072025806
TRADEE,900.5031359791711,797.740406685188
OTHERE,2002.7886491481247,1743.1057293222348
HS1E,78.38352521589766,48.798756922681285
HS2E,239.99649753758948,155.42399182517346
HS3E,111.06612417381928,73.35694599763254
GOODSF,748.0021321825294,678.2562309186164
TRADEF,1364.1431383805013,1284.1503731075084
OTHERF,2922.2416053311904,2648.2418216142833
HS1F,77.47357371376334,57.789659105013456
HS2F,357.1248881920324,249.2831303684831
HS3F,127.15943979733116,91.3799907655873
GOODSG,1229.9866348386256,1121.510047541674
TRADEG,1715.5622386260377,1518.502275189152
OTHERG,6303.047350378229,5561.268967547946
HS1G,105.79713232088612,68.1494543899223
HS2G,121.83281277427557,79.13478218740248
HS3G,166.89889534827043,104.7867383895595
GOODSH,3052.940335413852,2596.2771616930536
TRADEH,7886.4796533397985,6900.2035377922375
OTHERH,2280.633574832401,1804.3773036252346
HS1H,136.6148131855958,83.49427742611203
HS2H,59.96680954109344,36.57735465046037
HS3H,107.10502046625214,60.82274829640499
