Household Group,HH0,HHL
HH1A,20515.864897131898,18994.19298816028
HH2A,16216.973607812304,15179.873219730982
HH3A,12213.030908339948,11490.990315602554
HH4A,6149.000755763293,5777.60644860165
HH5A,4539.254555914002,4288.180967395245
HH1B,11357.437612198468,10768.489218793904
HH2B,14817.34331184618,14112.550293472736
HH3B,11907.57269978269,11348.297927418665
HH4B,7738.926246180407,7388.204533285067
HH5B,4868.017140523346,4677.406674118359
HH1C,8509.980424104688,7899.472188194893
HH2C,11311.028215874552,10659.138685129434
HH3C,12714.052004711044,12050.836831809238
HH4C,5648.041053800584,5386.0372227850385
HH5C,2076.0132348863467,1986.1344873819291
HH1D,2534.980410071947,2356.6903272353484
HH2D,5882.977402333391,5544.445689673418
HH3D,9828.000021707052,9325.314039888548
HH4D,10204.381011614476,9793.453457985544
HH5D,6767.9757488744535,6458.013607829826
HH1E,1303.9841126890383,1248.7212934004883
HH2E,8293.880680336973,7951.321449779448
HH3E,10882.254507180183,10478.2804753528
HH4E,11756.076607830848,11375.33150948154
HH5E,7584.078651509926,7297.229348999284
HH1F,1713.9795542515983,1641.107018973613
HH2F,4723.359369381365,4577.425063161409
HH3F,12326.899735932184,12066.407472793353
HH4F,11076.928549114158,10806.615090241765
HH5F,14598.18493966599,14305.617050048046
HH1G,5640.983030798658,5353.001831010289
HH2G,14871.007361867758,14248.24405256271
HH3G,11876.03268721193,11425.681916640462
HH4G,5818.178323873806,5595.203314367094
HH5G,2458.9782259255644,2351.6213944447204
HH1H,8728.99205838907,8179.928704260746
HH2H,10690.017098952441,10086.581722445533
HH3H,10324.068364887855,9782.528339656794
HH4H,4131.016244739172,3931.832557581405
HH5H,1357.0091307608354,1294.5246083105862
