,L1A,L2A,L3A,L1B,L2B,L3B,L1C,L2C,L3C,L1D,L2D,L3D,L1E,L2E,L3E,L1F,L2F,L3F,L1G,L2G,L3G,L1H,L2H,L3H,KAP
GOODSA,1367,4481,6492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938.316355
TRADEA,1856,3525,4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5938.381805
OTHERA,14075,29827,45169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6249.427259
GOODSB,0,0,0,624,1244,1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.1099479
TRADEB,0,0,0,3970,3722,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742.731912
OTHERB,0,0,0,8579,10222,8297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310.346931
GOODSC,0,0,0,0,0,0,756,1865,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.7384779
TRADEC,0,0,0,0,0,0,2250,3192,3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183.726824
OTHERC,0,0,0,0,0,0,4682,6393,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053.352
GOODSD,0,0,0,0,0,0,0,0,0,629,1896,3579,0,0,0,0,0,0,0,0,0,0,0,0,680.4060283
TRADED,0,0,0,0,0,0,0,0,0,2689,3341,2731,0,0,0,0,0,0,0,0,0,0,0,0,1878.545799
OTHERD,0,0,0,0,0,0,0,0,0,3343,4126,1962,0,0,0,0,0,0,0,0,0,0,0,0,854.5720998
GOODSE,0,0,0,0,0,0,0,0,0,0,0,0,582,1335,2058,0,0,0,0,0,0,0,0,0,173.5269233
TRADEE,0,0,0,0,0,0,0,0,0,0,0,0,1248,2349,2946,0,0,0,0,0,0,0,0,0,1040.267224
OTHERE,0,0,0,0,0,0,0,0,0,0,0,0,4378,6297,4443,0,0,0,0,0,0,0,0,0,1799.606273
GOODSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,1846,3031,0,0,0,0,0,0,510.624749
TRADEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,4602,4356,0,0,0,0,0,0,1385.484186
OTHERF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5304,6641,8270,0,0,0,0,0,0,1941.455572
GOODSG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,2017,5545,0,0,0,149.807392
TRADEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,3724,4871,0,0,0,2399.288174
OTHERG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9984,15092,15345,0,0,0,4460.277274
GOODSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177,7934,12982,2737.735689
TRADEH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7879,21496,26117,12655.49986
OTHERH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9193,9885,4305,1947.215698
HS1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925.881351
HS2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373.128921
HS3A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674.557381
HS1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654.929365
HS2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813.219853
HS3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.831088
HS1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2187.144077
HS2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1601.510828
HS3C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723.467955
HS1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.271324
HS2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3247.24645
HS3D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989.7293773
HS1E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882.1740994
HS2E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4516.474232
HS3E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334.63639
HS1F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874.940775
HS2F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6847.283171
HS3F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.557368
HS1G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.32597
HS2G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2297.286269
