,HH0,HW0,HHN0
HH1A,20516,7521,12995
HH2A,16217,12493,3724
HH3A,12213,10753,1460
HH4A,6149,5910,239
HH5A,4539,4345,194
HH1B,11354,4654,6700
HH2B,14818,10187,4631
HH3B,11908,10087,1821
HH4B,7739,7228,511
HH5B,4868,4346,522
HH1C,8510,2610,5900
HH2C,11311,8350,2961
HH3C,12714,10792,1922
HH4C,5648,5378,270
HH5C,2076,1911,165
HH1D,2535,1085,1450
HH2D,5883,4005,1878
HH3D,9828,8131,1697
HH4D,10204,9360,844
HH5D,6768,6388,380
HH1E,1304,865,439
HH2E,8294,5868,2426
HH3E,10882,9546,1336
HH4E,11756,10784,972
HH5E,7584,7251,333
HH1F,1714,311,1403
HH2F,4723,3048,1675
HH3F,12327,9616,2711
HH4F,11077,9649,1428
HH5F,14598,13739,859
HH1G,5641,3395,2246
HH2G,14871,11966,2905
HH3G,11876,10512,1364
HH4G,5818,5407,411
HH5G,2459,2339,120
HH1H,8729,4079,4650
HH2H,10690,7552,3138
HH3H,10324,9699,625
HH4H,4131,3696,435
HH5H,1357,1197,160
