,L1A,L2A,L3A,L1B,L2B,L3B,L1C,L2C,L3C,L1D,L2D,L3D,L1E,L2E,L3E,L1F,L2F,L3F,L1G,L2G,L3G,L1H,L2H,L3H
HH1A,0.27000931276583300,0.00000000000000000,0.00000000000000000,0.13967730619063800,0.00000000000000000,0.00000000000000000,0.06473629552018550,0.00000000000000000,0.00000000000000000,0.03957540485693400,0.00000000000000000,0.00000000000000000,0.03469629958816830,0.00000000000000000,0.00000000000000000,0.04865742233326630,0.00000000000000000,0.00000000000000000,0.1130309676734900,0.0000000000000000,0.0000000000000000,0.2273382630504810,0.0000000000000000,0.0000000000000000
HH2A,0.09000390532838710,0.27103423523118500,0.00000000000000000,0.03906045189604580,0.07073517391582050,0.00000000000000000,0.01852417549027900,0.03749859416949050,0.00000000000000000,0.01082474077003380,0.02013781688613020,0.00000000000000000,0.01123159190951910,0.02801240340708960,0.00000000000000000,0.01335721421099110,0.02387574486545390,0.00000000000000000,0.0354092045449556,0.0744820002328975,0.0000000000000000,0.0627861856140377,0.1380357792137150,0.0000000000000000
HH3A,0.07414963043513190,0.29162593493022400,0.24305407287746800,0.03550665162169060,0.07427366072426150,0.03277942371068530,0.01622697197771800,0.03598965890480400,0.01220346994314880,0.00918484219253523,0.01737115042637330,0.00852491432574143,0.00915163114083531,0.02736924118801050,0.01280935320753410,0.01181118908185550,0.02314632472614290,0.01823090300508560,0.0303049352677226,0.0787034198145672,0.0490824863679086,0.0545271619091497,0.1119586959914980,0.0582637686909803
HH4A,0.03872582918496300,0.17743806001902000,0.53296832879233100,0.01855401474408890,0.04471540057089320,0.07793885684759690,0.00872031413649040,0.02710739457239150,0.03373599077926320,0.00528615311090716,0.01682619026620980,0.02891952591442370,0.00493441258892795,0.02032785957802070,0.03523465750767340,0.00645966772777982,0.01599042127996230,0.04732769032382420,0.0157502679680608,0.0483195131111972,0.1256234736208580,0.0303341454509551,0.1152650147701680,0.2184206922351050
HH5A,0.06236377098480770,0.01887741587515940,0.69439833092967300,0.02225071280954620,0.00785886887953937,0.09752807758482750,0.00986753096000235,0.00500893001760794,0.03985827319384030,0.00395297289357635,0.00296014184593057,0.02347429766050690,0.00692515380603397,0.00321604328785173,0.04088661963649530,0.00621936206541895,0.00387571997751918,0.05688849966051390,0.0234157430151664,0.0069073399736774,0.1492643741421380,0.0274903682076615,0.0272449084389333,0.2123603175249560
HH1B,0.19111291982223900,0.00883501602899480,0.00000000000000000,0.22236631603669000,0.00481504390474856,0.00000000000000000,0.07409098750795990,0.00177450238422462,0.00000000000000000,0.04971891007821190,0.00082026495144802,0.00000000000000000,0.05711236256316820,0.00166454382615382,0.00000000000000000,0.06452527256593670,0.00154531688830040,0.00000000000000000,0.1409350037718850,0.0044971752413927,0.0000000000000000,0.1622535146974570,0.0024770148143294,0.0000000000000000
HH2B,0.09981769176780200,0.18257666049360400,0.00000000000000000,0.11186932260943100,0.10478892347682100,0.00000000000000000,0.03738513943478950,0.06005448026375440,0.00000000000000000,0.02459212630340630,0.03189193709929260,0.00000000000000000,0.02921419922539260,0.04559779789397870,0.00000000000000000,0.03185692105284670,0.04596267273729840,0.00000000000000000,0.0723986150032231,0.0916542545146747,0.0000000000000000,0.0795647257517888,0.1485756491898280,0.0000000000000000
HH3B,0.06322996504032380,0.11869267329811500,0.14652534989750700,0.07285733724994800,0.08547435100237890,0.05160679468609740,0.02521807094495790,0.04656295085982670,0.01770221176593710,0.01705038513908110,0.02856986046936490,0.01294961733601550,0.01937639343417400,0.03385793231446140,0.01722106161568240,0.02090462693772660,0.03855117269711980,0.02860501197549810,0.0461134232866512,0.0671602322236095,0.0624502275836731,0.0541751518072949,0.1414961182980730,0.0669250506259552
HH4B,0.05574918260429860,0.15180568309943000,0.31634914699589300,0.06020662677538740,0.08483071703573060,0.11225243411158300,0.02076128284757680,0.03358059399774140,0.04064611094015770,0.01352506327918540,0.01634031086057160,0.03068831062880330,0.01635351027225470,0.03013576205003460,0.03857697383822760,0.01673929901679180,0.02877876690295630,0.06381704767018670,0.0396054859454040,0.0778181858723607,0.1384127355419310,0.0425548494299209,0.0566490996519736,0.1599213203472480
HH5B,0.00112645368503636,0.04657447250843650,0.61375258736110100,0.00377487435463766,0.03154704877159530,0.19996524490484600,0.00131464395389215,0.01680501736614820,0.05552585645858670,0.00119456057374619,0.00995444023901973,0.03761669157781790,0.00076889198185988,0.01251897097638520,0.05647851698686880,0.00141770058357381,0.01380942503373520,0.10340636782262400,0.0014813268378041,0.0255916383849466,0.2391361353744900,0.0041079262517533,0.0479849945604664,0.1524826040323460
