dummy,GOODSA,TRADEA,OTHERA,GOODSB,TRADEB,OTHERB,GOODSC,TRADEC,OTHERC,GOODSD,TRADED,OTHERD,GOODSE,TRADEE,OTHERE,GOODSF,TRADEF,OTHERF,GOODSG,TRADEG,OTHERG,GOODSH,TRADEH,OTHERH,HS1A,HS2A,HS3A,HS1B,HS2B,HS3B,HS1C,HS2C,HS3C,HS1D,HS2D,HS3D,HS1E,HS2E,HS3E,HS1F,HS2F,HS3F,HS1G,HS2G,HS3G,HS1H,HS2H,HS3H,L1A,L2A,L3A,L1B,L2B,L3B,L1C,L2C,L3C,L1D,L2D,L3D,L1E,L2E,L3E,L1F,L2F,L3F,L1G,L2G,L3G,L1H,L2H,L3H,KAP,HH1A,HH2A,HH3A,HH4A,HH5A,HH1B,HH2B,HH3B,HH4B,HH5B,HH1C,HH2C,HH3C,HH4C,HH5C,HH1D,HH2D,HH3D,HH4D,HH5D,HH1E,HH2E,HH3E,HH4E,HH5E,HH1F,HH2F,HH3F,HH4F,HH5F,HH1G,HH2G,HH3G,HH4G,HH5G,HH1H,HH2H,HH3H,HH4H,HH5H,INVES,USSOCL1A,USSOCL2A,USSOCL3A,USSOCL1B,USSOCL2B,USSOCL3B,USSOCL1C,USSOCL2C,USSOCL3C,USSOCL1D,USSOCL2D,USSOCL3D,USSOCL1E,USSOCL2E,USSOCL3E,USSOCL1F,USSOCL2F,USSOCL3F,USSOCL1G,USSOCL2G,USSOCL3G,USSOCL1H,USSOCL2H,USSOCL3H,MEMPROPTAX,OTHERPROPTAX,MEMSALESTAX,OTHERSALESTAX,MEMFEE,OTHERFEE,TNSTX,TNITAX,USPIT,CYGFM,CYGFO,FED,STATE,MEMPHIS,OTHER,OUTCOM1,OUTCOM2,OUTCOM3,ROW
GOODSA,84.49752696,36.57743031,167.996294,20.29633729,21.19591707,41.31914705,21.22380222,18.86427997,19.69752803,32.36571815,13.39309366,10.61759302,19.21965646,12.47833606,22.51439397,30.28878755,18.29132851,32.00400072,50.06200251,24.86968082,71.83378363,123.7055432,105.9489678,24.99214972,0.135568764,4.300367986,0.1714961,0.104611128,0.755235953,4.707938648,0.094608572,0.155067949,2.077446868,1.102430372,2.366225854,3.036441499,2.169581475,0.342998143,2.780512212,2.133960696,0.07114063,4.288549845,2.818633219,0.158418576,0.170790012,0.343657083,1.518160867,0.656617508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.674136961,11.30989225,11.84095226,9.280145611,18.05980352,0.140344936,0.625718571,0.546001651,0.097338371,0.869210602,0.093864651,0.200513377,0.804355305,0.370103522,0.365336463,0.037852219,0.179079443,0.59935371,0.78719114,0.659108586,1.534098218,0.251253453,0.224128197,0.73672708,1.032906632,1.004965175,0.145342529,0.435074832,0.830987512,2.971485787,0.063177786,0.687028087,0.585521106,0.21999063,0.594098344,0.082405003,0.185349507,0.610313148,0.236733765,0.211100965,612.0952571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8430179,17.65289999,40.65172722,10.1629318,0,0,0,982.9640202
TRADEA,15.39882061,21.82681254,47.89524148,3.698802417,12.64821789,11.77996537,3.86782353,11.25686248,5.615706389,5.898325142,7.992047068,3.027044045,3.502588213,7.446184701,6.418786452,5.519825522,10.91496574,9.124244982,9.12329418,14.84045917,20.47959708,22.54408545,63.2228191,7.125187213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.2468433,209.8751624,217.2863348,164.1419862,308.2400573,3.223209605,11.61132076,10.01935444,1.721666253,14.83546183,2.155727543,3.720882271,14.76025004,6.546182541,6.235468297,0.869326956,3.323137506,10.99838662,13.92339329,11.24949494,2.283111293,4.662454613,4.112844423,13.03081345,17.62938335,1.114031902,2.697089079,7.983801771,14.69803885,50.71655118,1.450962547,12.74902785,10.74455265,3.8910703,10.13991694,1.892541362,3.439489695,11.19949681,4.187213434,3.603016689,338.9919098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38499286,2.68376356,6.180266372,1.545066593,0,0,0,1707.726015
OTHERA,136.2266726,393.3349847,3144.852465,32.72169725,227.9300553,773.4850474,34.21695356,202.8568221,368.7332506,52.17991874,144.0224817,198.7589295,30.98587547,134.1856462,421.4643411,48.83149712,196.695595,599.107624,80.70981804,267.4358324,1344.712113,199.4377248,1139.321032,467.847366,0.458541411,14.54536248,0.580060347,0.353831761,2.554474577,15.92391032,0.319999587,0.524494541,7.026658606,3.728808654,8.00341107,10.27031696,7.33829037,1.160140792,9.40467377,7.217808321,0.240622722,14.50538935,9.53361247,0.535827543,0.577672107,1.162369561,5.134955933,2.220912186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.4235048,137.224757,178.1611536,176.469619,331.3899553,2.00114161,7.591944905,8.215241638,1.850969363,15.94965649,1.338391422,2.432861324,12.1024784,7.037823566,6.703773605,0.539724858,2.172799924,9.017986562,14.96908845,12.09437105,1.986197544,3.048498898,3.372274229,14.00947276,18.95341122,1.070797128,1.763464477,6.546216241,15.80191257,54.52554017,0.900835466,8.335823209,8.809858648,4.183303182,10.90145989,1.174991307,2.248875628,9.182884295,4.501687693,3.873615745,250.0968728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.77281921,20.6701047,47.59985375,11.89996344,0,0,0,7968.699116
GOODSB,27.74135109,12.0087223,55.1547997,6.663482813,6.958823508,13.56547353,6.967978472,6.193324616,6.466887972,10.62597667,4.397081509,3.485857943,6.309998136,4.096757787,7.391692162,9.944100372,6.005219139,10.50722136,16.43583709,8.164955494,23.58372231,40.61372005,34.78406551,8.205163214,0.044508529,1.411852185,0.05630382,0.03434484,0.24795123,1.545661555,0.031060905,0.0509103,0.682045795,0.361938498,0.776854714,0.996892959,0.712294473,0.112609591,0.912868912,0.700599828,0.023356153,1.407972176,0.925384405,0.052010343,0.056072004,0.112825927,0.498426819,0.215573845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088426208,0.304330777,0.239116941,0.170988493,0.376076284,4.156302635,10.18198713,11.31386444,11.58713297,16.73470215,0.021978759,0.193127052,0.180858267,0.19376505,0.116259174,0.007134984,0.070464415,0.138915498,0.303936867,0.373226812,1.505611133,0.092247807,0.295769232,0.326954977,0.321559505,1.005641445,0.042718265,0.253328548,0.267682341,0.68060295,0.048471183,0.14711003,0.240517367,0.237663486,0.090949682,0.052671905,0.133936275,0.194255321,0.129440287,0.040688173,285.4104406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.469440286,5.795616911,13.34635317,3.336588293,0,0,0,138.1112878
TRADEB,15.68464558,22.2319506,48.78424829,3.767457682,12.8829876,11.99861902,3.939616078,11.46580656,5.719942238,6.007806815,8.140391329,3.083230477,3.567601451,7.584396947,6.53792866,5.62228168,11.11756371,9.293604518,9.292636067,15.11592013,20.85972881,22.96253715,64.39632851,7.257441268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.030826406,5.647398744,4.387894018,3.024348109,6.418772784,95.45506198,188.9448773,207.6140568,204.9466787,285.6235698,0.504771664,3.583815877,3.318823448,3.427207018,1.98428152,0.163864475,1.307592521,2.549156416,5.37586404,6.370138728,1.628867199,1.711822102,5.427486813,5.782995388,5.488294501,1.129563341,0.792713362,4.648682854,4.7346144,11.6163552,1.113205693,2.729888209,4.413592424,4.203657816,1.552305664,1.209680913,2.485425755,3.564664886,2.289466862,0.694455222,215.6709104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.466384839,2.733578197,6.294981293,1.573745323,0,0,0,751.951721
OTHERB,39.47119566,113.967418,911.2098578,9.480995826,66.04192585,224.1145516,9.914241045,58.77704537,106.8391527,15.11894655,41.73000373,57.58969552,8.978047617,38.87981549,122.1177994,14.14875325,56.99185166,173.5893111,23.38538378,77.48858477,389.6255696,57.78637405,330.1142316,135.5571165,0.132860749,4.214467235,0.16807043,0.102521499,0.740149957,4.613896588,0.092718746,0.151970435,2.035949432,1.080409094,2.318959997,2.975787945,2.126243631,0.336146683,2.724970899,2.091334384,0.069719581,4.202885165,2.76233043,0.155254132,0.167378446,0.336792461,1.487835286,0.643501436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.260846089,3.692494679,3.597797629,3.251487147,6.900844895,59.26362844,123.5397013,170.2304928,220.3388855,307.0748911,0.313389355,2.343241846,2.721226876,3.684602158,2.133307948,0.101735866,0.854956175,2.090148229,5.779610085,6.848558252,1.580007678,1.119257607,4.450198457,6.21731841,5.900484464,1.080439879,0.518307632,3.811628103,5.090200371,12.48878378,0.691137873,1.784909857,3.618868709,4.519367106,1.668889206,0.751034871,1.625070549,2.922801422,2.461413769,0.74661122,153.919442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08794149,6.786194248,15.62748997,3.906872491,0,0,0,1201.425176
GOODSC,34.51623117,14.94144368,68.62448086,8.29081152,8.658279121,16.87837837,8.669669872,7.705833198,8.046205085,13.22100954,5.470918895,4.337160012,7.851000251,5.097251334,9.196861198,12.37260818,7.471789366,13.07325228,20.44973047,10.15896776,29.34324318,50.5322378,43.27888871,10.20899485,0.055378222,1.756648992,0.07005411,0.042732397,0.308504872,1.923136742,0.038646473,0.063343406,0.848612248,0.450329648,0.966575017,1.240350108,0.886248136,0.140110647,1.13580605,0.871697473,0.029060098,1.751821422,1.151378026,0.064712097,0.069765681,0.140379817,0.620150593,0.268220414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040982929,0.112354903,0.317828253,0.138111429,0.194626024,0.021777511,0.069666828,0.260701107,0.129784488,0.162685712,3.162477484,7.719222075,12.07639661,7.854046199,6.186477581,0.003514921,0.081129154,0.164944573,0.126805683,0.174276049,1.502406217,0.110425484,0.21083917,0.147522953,0.162668141,1.001883918,0.050954669,0.203763874,0.11168929,0.397733727,0.021799372,0.175777522,0.18194467,0.11756232,0.057004291,0.022450636,0.157234625,0.146063606,0.070236997,0.024808723,199.9314701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78202853,7.210998933,16.60574534,4.151436334,0,0,0,166.8755027
TRADEC,13.22205169,18.74138618,41.12479616,3.175941716,10.86027268,10.11475586,3.321070096,9.665598509,4.821873184,5.064541103,6.862295635,2.599142743,3.007464245,6.393596076,5.511430285,4.739545984,9.372032109,7.834446667,7.83363027,12.74261992,17.58461236,19.35726577,54.28567573,6.117974619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941227906,2.084945027,5.832278921,2.442837137,3.321826656,0.500149732,1.292791877,4.783972323,2.29555489,2.776677678,72.63053506,143.2438923,221.6068352,138.9179434,105.5891999,0.080724868,1.505495717,3.026800632,2.242867464,2.974498553,1.555261997,2.049141222,3.868985322,2.609302863,2.776377781,1.043266694,0.945554487,3.739150738,1.975497218,6.788416419,0.500651793,3.261864503,3.33875938,2.079376071,0.972934494,0.515608945,2.917768077,2.680327128,1.242312424,0.423428878,159.0542846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.765132651,2.304388201,5.306627274,1.326656819,0,0,0,801.7257047
OTHERC,22.00531097,63.53718026,508.0022519,5.285683851,36.81857342,124.9445404,5.527219371,32.76838058,59.56315081,8.428858434,23.2646033,32.10642945,5.005288703,21.67561474,68.08104252,7.887972735,31.77312969,96.77656599,13.03742219,43.20012039,217.2174336,32.21607832,184.0396827,75.57350246,0.074070269,2.349578231,0.093699773,0.057156046,0.41263584,2.572261304,0.051690982,0.084723977,1.135047967,0.602331338,1.292827213,1.65901078,1.185387256,0.187402793,1.519179519,1.165925245,0.038868877,2.343121192,1.54000757,0.086554648,0.09331399,0.187762816,0.829472672,0.358753997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584364828,1.363220266,4.782102573,2.626302684,3.571307366,0.310519812,0.845278923,3.922556974,2.467959029,2.985215807,45.09293644,93.65857344,181.7036927,149.351163,113.5193153,0.050118333,0.984353182,2.4817865,2.411314594,3.197893716,1.534309615,1.33981031,3.172325075,2.805270563,2.984893387,1.026862287,0.61824126,3.065868866,2.123863915,7.29825005,0.310831518,2.132737189,2.737573089,2.23554443,1.046005251,0.320117721,1.907753213,2.197699978,1.335614398,0.455229856,111.5591337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79579352,8.443491043,19.44397209,4.860993023,0,0,0,270.4044794
GOODSD,47.38340944,20.51140926,94.20674748,11.38151251,11.885967,23.17040667,11.90160407,10.57846228,11.04572015,18.14962083,7.510402533,5.953993865,10.77774562,6.997436823,12.6253251,16.98494706,10.25717011,17.94678169,28.07310992,13.94609181,40.28200237,69.369964,59.4126657,14.01476831,0.076022464,2.411503678,0.096169323,0.05866245,0.423511263,2.640055781,0.053053348,0.086956961,1.164963272,0.618206373,1.326900946,1.702735642,1.216629303,0.192341978,1.55921899,1.196654352,0.039893305,2.404876457,1.580595985,0.088835881,0.095773372,0.19271149,0.85133424,0.368209312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025054199,0.071624882,0.42023439,0.150111089,0.120493884,0.012035953,0.046131132,0.35181164,0.316554458,0.092670518,0.005408503,0.126782261,0.268946186,0.084869006,0.038856513,0.91740089,4.004962294,9.42987946,14.31204872,14.28374025,1.501335874,0.073655563,0.267485585,0.158482558,0.097202115,1.001255006,0.034803369,0.194682163,0.109141431,0.276920749,0.012636719,0.106788789,0.187276954,0.100628726,0.039223333,0.014694715,0.232502221,0.163942514,0.041806893,0.016521231,194.7824794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17420741,9.899160578,22.79613977,5.699034944,0,0,0,264.7388732
