sector,shock
GOODSA,0.406030927
TRADEA,0.506037343
OTHERA,0.445047342
GOODSB,0.49466558
TRADEB,0.569534236
OTHERB,0.538454955
GOODSC,0.438017587
TRADEC,0.550209157
OTHERC,0.585983984
GOODSD,0.506537368
TRADED,0.536745326
OTHERD,0.55306448
GOODSE,0.622562717
TRADEE,0.63413424
OTHERE,0.669323303
GOODSF,0.887120199
TRADEF,0.765465784
OTHERF,0.754782643
GOODSG,0.793412951
TRADEG,0.647345921
OTHERG,0.683272643
GOODSH,0.606281064
TRADEH,0.558254524
OTHERH,0.547022538
HS1A,0.542480272
HS2A,0.551883603
HS3A,0.490634644
HS1B,0.569839826
HS2B,0.587250434
HS3B,0.602494648
HS1C,0.554421821
HS2C,0.582878227
HS3C,0.51128332
HS1D,0.553777769
HS2D,0.590972725
HS3D,0.520073152
HS1E,0.59830516
HS2E,0.625863695
HS3E,0.638862574
HS1F,0.72960764
HS2F,0.679204624
HS3F,0.699981465
HS1G,0.621583975
HS2G,0.628136967
HS3G,0.605166008
HS1H,0.587777661
HS2H,0.585281663
HS3H,0.541637736
